"",BBAI3.Q.DE.N.V.LE.F332A.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:34,
2005-10,321,
2006-01,338,
2006-04,283,
2006-07,232,
2006-10,221,
2007-01,419,
2007-04,298,
2007-07,317,
2007-10,376,
2008-01,278,
2008-04,289,
2008-07,287,
2008-10,381,
2009-01,361,
2009-04,378,
2009-07,374,
2009-10,335,
2010-01,377,
2010-04,336,
2010-07,340,
2010-10,330,
2011-01,340,
2011-04,308,
2011-07,444,
2011-10,430,
2012-01,631,
2012-04,571,
2012-07,728,
2012-10,600,
2013-01,230,
2013-04,212,
2013-07,260,
2013-10,170,
2014-01,195,
2014-04,205,
2014-07,212,
