"",BBEX3.M.NGN.EUR.CA.AB.A01,BBEX3.M.NGN.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Nigeria / EUR 1 = NGN ... (selling),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:40,
1999-01,98.9516,
1999-02,94.4280,
1999-03,96.6060,
1999-04,95.9220,
1999-05,100.2692,
1999-06,97.9351,
1999-07,100.8005,
1999-08,98.9788,
1999-09,99.9656,
1999-10,99.2750,
1999-11,98.1875,
1999-12,98.6910,
2000-01,97.3455,
2000-02,97.9789,
2000-03,96.0645,
2000-04,90.9754,
2000-05,94.1565,
2000-06,97.8054,
2000-07,96.0960,
2000-08,91.6182,
2000-09,89.5301,
2000-10,86.2025,
2000-11,88.8926,
2000-12,102.3465,
2001-01,103.0440,
2001-02,102.0617,
2001-03,97.5267,
2001-04,101.2497,
2001-05,95.8862,
2001-06,94.9984,
2001-07,97.8045,
2001-08,102.2702,
2001-09,102.1363,
2001-10,101.0426,
2001-11,99.9438,
2001-12,100.3919,
2002-01,98.5546,
2002-02,99.9995,
2002-03,101.1928,
2002-04,104.7863,
2002-05,109.5350,
2002-06,119.7757,
2002-07,123.3036,
2002-08,124.1478,
2002-09,124.2426,
2002-10,124.9882,
2002-11,126.0597,
2002-12,133.1054,
2003-01,137.5280,
2003-02,136.8895,
2003-03,138.7569,
2003-04,141.8529,
2003-05,151.1344,
2003-06,145.2532,
2003-07,144.3988,
2003-08,139.9368,
2003-09,150.0015,
2003-10,154.2665,
2003-11,165.3978,
2003-12,172.7707,
2004-01,167.5014,
2004-02,167.1570,
2004-03,163.4483,
2004-04,159.3202,
2004-05,161.9285,
2004-06,161.4638,
2004-07,159.6364,
2004-08,159.9672,
2004-09,163.5497,
2004-10,168.2910,
2004-11,176.1324,
2004-12,181.4598,
2005-01,172.6250,
2005-02,176.1591,
2005-03,172.2400,
2005-04,172.1477,
2005-05,163.7130,
2005-06,160.6133,
2005-07,160.7075,
2005-08,157.9977,
2005-09,156.1252,
2005-10,156.1355,
2005-11,151.9093,
2005-12,152.7231,
2006-01,156.3867,
2006-02,152.0768,
2006-03,154.0489,
2006-04,159.5092,
2006-05,163.6554,
2006-06,161.6204,
2006-07,162.2558,
2006-08,163.3731,
2006-09,160.8074,
2006-10,161.2011,
2006-11,167.6273,
2006-12,167.4241,
2007-01,164.4525,
2007-02,167.8310,
2007-03,169.2647,
2007-04,172.2646,
2007-05,169.8803,
2007-06,170.1801,
2007-07,172.5792,
2007-08,170.0570,
2007-09,176.5112,
2007-10,176.1775,
2007-11,173.7192,
2007-12,171.8946,
2008-01,173.0657,
2008-02,177.4472,
2008-03,184.4567,
2008-04,179.0295,
2008-05,181.0913,
2008-06,183.9372,
2008-07,182.4750,
2008-08,171.7861,
2008-09,170.7021,
2008-10,148.3353,
2008-11,149.0753,
2008-12,183.5138,
2009-01,191.8081,
2009-02,184.6315,
2009-03,194.1744,
2009-04,193.9157,
2009-05,203.3262,
2009-06,207.5192,
2009-07,210.5635,
2009-08,215.4693,
2009-09,215.7501,
2009-10,220.7869,
2009-11,222.9841,
2009-12,213.4121,
2010-01,207.7667,
2010-02,200.5492,
2010-03,200.0122,
2010-04,198.2457,
2010-05,184.9038,
2010-06,182.2838,
2010-07,193.9824,
2010-08,189.4639,
2010-09,204.2156,
2010-10,205.8953,
2010-11,193.7320,
2010-12,199.7386,
2011-01,205.6187,
2011-02,207.4856,
2011-03,215.5978,
2011-04,227.4991,
2011-05,220.9699,
2011-06,219.5035,
2011-07,214.6161,
2011-08,220.9038,
2011-09,208.6945,
2011-10,210.6205,
2011-11,208.0642,
2011-12,202.7228,
2012-01,207.1018,
2012-02,209.4049,
2012-03,208.3358,
2012-04,205.8354,
2012-05,193.2235,
2012-06,196.4064,
2012-07,191.3715,
2012-08,196.1678,
2012-09,201.5014,
2012-10,202.4620,
2012-11,202.5970,
2012-12,205.4295,
2013-01,211.0900,
2013-02,204.2973,
2013-03,199.5158,
2013-04,203.7054,
2013-05,202.4931,
2013-06,203.7366,
2013-07,206.6468,
2013-08,206.1484,
2013-09,210.2002,
2013-10,212.5579,
2013-11,211.9972,
2013-12,214.4145,
2014-01,211.0101,
2014-02,214.8727,
2014-03,214.8278,
2014-04,215.6861,
2014-05,212.0108,
2014-06,212.6026,
2014-07,208.4290,
2014-08,205.4234,
2014-09,196.0114,
2014-10,195.9928,
2014-11,206.0355,
2014-12,204.1536,
2015-01,190.5792,
"","Source: Central Bank of Nigeria, Abuja",
