"",BBEX3.M.BRL.EUR.CA.AC.A01,BBEX3.M.BRL.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Brazil / EUR 1 = BRL ... (middle),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:20,
1999-01,2.254260,comment
1999-02,2.275950,
1999-03,1.856750,
1999-04,1.756595,
1999-05,1.797715,
1999-06,1.834030,
1999-07,1.916700,
1999-08,2.024900,
1999-09,2.054700,
1999-10,2.061150,
1999-11,1.940750,
1999-12,1.802900,
2000-01,1.750100,
2000-02,1.706750,
2000-03,1.671400,
2000-04,1.648790,
2000-05,1.713525,
2000-06,1.716820,
2000-07,1.645050,
2000-08,1.620285,
2000-09,1.629480,
2000-10,1.621165,
2000-11,1.710775,
2000-12,1.839460,
2001-01,1.841420,
2001-02,1.889190,
2001-03,1.899265,
2001-04,1.939220,
2001-05,1.998820,
2001-06,1.961130,
2001-07,2.130200,
2001-08,2.327805,
2001-09,2.432925,
2001-10,2.438740,
2001-11,2.267885,
2001-12,2.061085,
2002-01,2.079880,
2002-02,2.041645,
2002-03,2.023510,
2002-04,2.126835,
2002-05,2.356940,
2002-06,2.821250,
2002-07,3.354055,
2002-08,2.970230,
2002-09,3.849325,
2002-10,3.610345,
2002-11,3.617925,
2002-12,3.697180,
2003-01,3.793685,
2003-02,3.849605,
2003-03,3.662490,
2003-04,3.230930,
2003-05,3.495085,
2003-06,3.307510,
2003-07,3.333960,
2003-08,3.257375,
2003-09,3.409680,
2003-10,3.305305,
2003-11,3.535555,
2003-12,3.646820,
2004-01,3.664450,
2004-02,3.641180,
2004-03,3.579120,
2004-04,3.527565,
2004-05,3.816700,
2004-06,3.791285,
2004-07,3.636220,
2004-08,3.574055,
2004-09,3.553600,
2004-10,3.653810,
2004-11,3.630495,
2004-12,3.615810,
2005-01,3.421430,
2005-02,3.436810,
2005-03,3.456745,
2005-04,3.259800,
2005-05,2.958825,
2005-06,2.844790,
2005-07,2.898595,
2005-08,2.914185,
2005-09,2.670935,
2005-10,2.700960,
2005-11,2.601470,
2005-12,2.767990,
2006-01,2.698160,
2006-02,2.534895,
2006-03,2.631920,
2006-04,2.635020,
2006-05,2.947120,
2006-06,2.767305,
2006-07,2.777625,
2006-08,2.739185,
2006-09,2.756705,
2006-10,2.734710,
2006-11,2.873080,
2006-12,2.819285,
2007-01,2.763610,
2007-02,2.802380,
2007-03,2.737670,
2007-04,2.775730,
2007-05,2.594895,
2007-06,2.606570,
2007-07,2.568575,
2007-08,2.674155,
2007-09,2.622860,
2007-10,2.519940,
2007-11,2.619665,
2007-12,2.607735,
2008-01,2.613890,
2008-02,2.555990,
2008-03,2.759535,
2008-04,2.634445,
2008-05,2.534070,
2008-06,2.505260,
2008-07,2.443130,
2008-08,2.397650,
2008-09,2.692395,
2008-10,2.691260,
2008-11,2.961480,
2008-12,3.237245,
2009-01,2.968250,
2009-02,3.020535,
2009-03,3.077410,
2009-04,2.881685,
2009-05,2.788525,
2009-06,2.739095,
2009-07,2.670775,
2009-08,2.700260,
2009-09,2.600340,
2009-10,2.569460,
2009-11,2.625495,
2009-12,2.506580,
2010-01,2.602340,
2010-02,2.466125,
2010-03,2.406850,
2010-04,2.303200,
2010-05,2.235750,
2010-06,2.203750,
2010-07,2.293500,
2010-08,2.225500,
2010-09,2.309750,
2010-10,2.366000,
2010-11,2.235800,
2010-12,2.227300,
2011-01,2.290600,
2011-02,2.291000,
2011-03,2.312250,
2011-04,2.331900,
2011-05,2.272650,
2011-06,2.266050,
2011-07,2.238750,
2011-08,2.285750,
2011-09,2.493150,
2011-10,2.360450,
2011-11,2.440950,
2011-12,2.433650,
2012-01,2.284900,
2012-02,2.286100,
2012-03,2.429500,
2012-04,2.502000,
2012-05,2.499700,
2012-06,2.560100,
2012-07,2.523800,
2012-08,2.561500,
2012-09,2.610450,
2012-10,2.634350,
2012-11,2.738900,
2012-12,2.694900,
2013-01,2.698200,
2013-02,2.582800,
2013-03,2.584800,
2013-04,2.635900,
2013-05,2.767200,
2013-06,2.882200,
2013-07,3.044350,
2013-08,3.130250,
2013-09,3.017550,
2013-10,2.998850,
2013-11,3.161800,
2013-12,3.225850,
2014-01,3.271850,
2014-02,3.222300,
2014-03,3.116850,
2014-04,3.100600,
2014-05,3.053250,
2014-06,3.014350,
2014-07,3.035150,
2014-08,2.944700,
2014-09,3.094500,
2014-10,3.056600,
2014-11,3.190800,
2014-12,3.226400,
2015-01,3.009250,
"",General: Multiple exchange rate system in January 1999.,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since April 2000: Banco Central do Brasil, Brasilia. 1999 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Comment on 1999-01: Commercial banks' rate.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the free market rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  Free market rates as at the end of January 1999: EUR 1 = BRL 2.0489 / 2.2766 (buying/selling).  The multiple exchange rate system was standardised on 1 February 1999.",
