"",BBK01.CEH60I,BBK01.CEH60I_FLAGS
"",Insurance technical reserves debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:56,
1991-01,17.7,
1991-04,3.5,
1991-07,13.2,
1991-10,5.5,
1992-01,18.7,
1992-04,9.6,
1992-07,9.0,
1992-10,7.8,
1993-01,11.6,
1993-04,14.0,
1993-07,9.9,
1993-10,12.1,
1994-01,14.1,
1994-04,18.4,
1994-07,10.0,
1994-10,11.0,
1995-01,23.3,
1995-04,11.4,
1995-07,12.0,
1995-10,12.3,
1996-01,25.0,
1996-04,11.4,
1996-07,11.2,
1996-10,11.3,
1997-01,24.9,
1997-04,11.3,
1997-07,12.7,
1997-10,12.9,
1998-01,25.6,
1998-04,13.5,
1998-07,11.1,
1998-10,15.3,
1999-01,19.7,
1999-04,13.0,
1999-07,15.0,
1999-10,18.0,
2000-01,23.3,
2000-04,15.4,
2000-07,16.8,
2000-10,15.2,
2001-01,22.2,
2001-04,14.0,
2001-07,17.3,
2001-10,5.6,
2002-01,22.9,
2002-04,13.5,
2002-07,15.5,
2002-10,-6.8,
2003-01,19.0,
2003-04,13.0,
2003-07,13.5,
2003-10,10.7,
2004-01,16.6,
2004-04,11.3,
2004-07,11.9,
2004-10,17.8,
2005-01,16.7,
2005-04,11.6,
2005-07,12.6,
2005-10,25.8,
2006-01,21.0,
2006-04,17.5,
2006-07,19.6,
2006-10,18.3,
2007-01,16.8,
2007-04,14.7,
2007-07,16.7,
2007-10,28.5,
2008-01,9.2,
2008-04,8.4,
2008-07,9.1,
2008-10,10.4,
2009-01,23.4,
2009-04,15.3,
2009-07,13.9,
2009-10,19.6,
2010-01,28.0,
2010-04,19.6,
2010-07,13.8,
2010-10,17.8,
2011-01,19.5,
2011-04,13.3,
2011-07,10.8,
2011-10,13.2,
2012-01,27.2,
2012-04,19.6,
2012-07,15.7,
2012-10,19.2,
2013-01,27.3,
2013-04,19.7,
2013-07,15.2,
2013-10,18.8,
2014-01,28.0,
