"",BBK01.WX0248,BBK01.WX0248_FLAGS
"",Gross sales of domestic debt securities at nominal value / Other financial intermediaries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:20,
2008-01,2,
2008-02,3539,
2008-03,668,
2008-04,1164,
2008-05,2441,
2008-06,776,
2008-07,1680,
2008-08,28157,
2008-09,1501,
2008-10,3221,
2008-11,3550,
2008-12,35992,
2009-01,3952,
2009-02,16928,
2009-03,277,
2009-04,4807,
2009-05,668,
2009-06,5757,
2009-07,2984,
2009-08,1248,
2009-09,2221,
2009-10,2684,
2009-11,1463,
2009-12,1194,
2010-01,2866,
2010-02,2402,
2010-03,6320,
2010-04,1526,
2010-05,1322,
2010-06,2049,
2010-07,2321,
2010-08,2866,
2010-09,1494,
2010-10,2747,
2010-11,5077,
2010-12,1826,
2011-01,11752,
2011-02,9350,
2011-03,4718,
2011-04,5688,
2011-05,6466,
2011-06,8946,
2011-07,4744,
2011-08,3486,
2011-09,2789,
2011-10,1697,
2011-11,4054,
2011-12,1616,
2012-01,1323,
2012-02,826,
2012-03,2075,
2012-04,2897,
2012-05,1304,
2012-06,1955,
2012-07,1710,
2012-08,1106,
2012-09,1891,
2012-10,2292,
2012-11,5671,
2012-12,1471,
2013-01,2081,
2013-02,2941,
2013-03,5130,
2013-04,2193,
2013-05,3353,
2013-06,4126,
2013-07,2838,
2013-08,1983,
2013-09,1786,
2013-10,3251,
2013-11,3821,
2013-12,1219,
2014-01,3052,
2014-02,4486,
2014-03,3900,
2014-04,6359,
2014-05,3805,
2014-06,1831,
2014-07,2994,
2014-08,2018,
2014-09,4488,
2014-10,3330,
2014-11,3625,
2014-12,2817,
"",General: Excluding insurance corporations; including financial auxiliaries; revised figures from 2006 onwards,
