"",BBAI3.Q.DE.N.V.LE.F.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:39,
2005-10,179729,
2006-01,188873,
2006-04,185988,
2006-07,191205,
2006-10,193605,
2007-01,202498,
2007-04,201597,
2007-07,201815,
2007-10,199709,
2008-01,201719,
2008-04,196738,
2008-07,193145,
2008-10,189066,
2009-01,194831,
2009-04,192159,
2009-07,191388,
2009-10,190740,
2010-01,199310,
2010-04,194964,
2010-07,191191,
2010-10,189566,
2011-01,196825,
2011-04,194447,
2011-07,191393,
2011-10,193166,
2012-01,199576,
2012-04,198609,
2012-07,200099,
2012-10,199603,
2013-01,209762,
2013-04,207211,
2013-07,206753,
2013-10,206957,
2014-01,220601,
2014-04,219737,
2014-07,219095,
