"",BBAI3.Q.DE.N.V.LE.F6.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:04,
2005-10,1025713,
2006-01,1039559,
2006-04,1047448,
2006-07,1054967,
2006-10,1061268,
2007-01,1076494,
2007-04,1081946,
2007-07,1088105,
2007-10,1090057,
2008-01,1101471,
2008-04,1105359,
2008-07,1107272,
2008-10,1095745,
2009-01,1112326,
2009-04,1121862,
2009-07,1129601,
2009-10,1136368,
2010-01,1164437,
2010-04,1177422,
2010-07,1183083,
2010-10,1191266,
2011-01,1210967,
2011-04,1218617,
2011-07,1224938,
2011-10,1224324,
2012-01,1244987,
2012-04,1256394,
2012-07,1268513,
2012-10,1279972,
2013-01,1308841,
2013-04,1317655,
2013-07,1326833,
2013-10,1338265,
2014-01,1361071,
2014-04,1376723,
2014-07,1383487,
