"",BBK01.CEFEK0,BBK01.CEFEK0_FLAGS
"",short-term loans  debtor: Insurance corporations                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:33,
1999-01,36.7,
1999-04,37.8,
1999-07,38.2,
1999-10,38.6,
2000-01,40.7,
2000-04,40.9,
2000-07,41.6,
2000-10,41.4,
2001-01,42.9,
2001-04,43.8,
2001-07,45.2,
2001-10,46.7,
2002-01,47.7,
2002-04,48.9,
2002-07,52.2,
2002-10,53.4,
2003-01,55.3,
2003-04,55.6,
2003-07,56.1,
2003-10,55.8,
2004-01,58.8,
2004-04,59.5,
2004-07,61.0,
2004-10,60.7,
2005-01,51.7,
2005-04,49.6,
2005-07,53.5,
2005-10,51.8,
2006-01,51.4,
2006-04,50.9,
2006-07,46.3,
2006-10,46.4,
2007-01,45.1,
2007-04,45.8,
2007-07,45.4,
2007-10,44.3,
2008-01,43.2,
2008-04,41.0,
2008-07,42.2,
2008-10,38.0,
2009-01,37.0,
2009-04,35.7,
2009-07,34.9,
2009-10,34.0,
2010-01,35.2,
2010-04,35.5,
2010-07,36.2,
2010-10,37.8,
2011-01,35.9,
2011-04,35.4,
2011-07,35.4,
2011-10,35.3,
2012-01,35.9,
2012-04,37.4,
2012-07,37.7,
2012-10,37.6,
2013-01,36.9,
2013-04,36.6,
2013-07,32.8,
2013-10,33.0,
2014-01,34.3,
2014-04,34.2,
2014-07,35.8,
