"",BBK01.CEHO0B,BBK01.CEHO0B_FLAGS
"",Other deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:19,
1991-01,5.6,
1991-04,1.9,
1991-07,2.5,
1991-10,0.8,
1992-01,6.0,
1992-04,1.2,
1992-07,1.3,
1992-10,2.2,
1993-01,7.5,
1993-04,3.0,
1993-07,4.3,
1993-10,5.3,
1994-01,11.4,
1994-04,5.7,
1994-07,6.8,
1994-10,3.8,
1995-01,12.2,
1995-04,6.6,
1995-07,7.2,
1995-10,4.6,
1996-01,13.3,
1996-04,9.1,
1996-07,7.5,
1996-10,0.5,
1997-01,10.8,
1997-04,4.9,
1997-07,2.9,
1997-10,3.2,
1998-01,10.8,
1998-04,1.9,
1998-07,3.9,
1998-10,-0.8,
1999-01,10.0,
1999-04,1.9,
1999-07,7.8,
1999-10,8.6,
2000-01,12.0,
2000-04,3.0,
2000-07,1.0,
2000-10,3.6,
2001-01,6.1,
2001-04,3.2,
2001-07,3.5,
2001-10,1.9,
2002-01,4.1,
2002-04,-0.1,
2002-07,2.8,
2002-10,6.7,
2003-01,8.0,
2003-04,0.0,
2003-07,5.3,
2003-10,2.0,
2004-01,10.8,
2004-04,8.5,
2004-07,7.5,
2004-10,11.0,
2005-01,12.3,
2005-04,0.5,
2005-07,2.1,
2005-10,-0.3,
2006-01,8.1,
2006-04,8.7,
2006-07,9.2,
2006-10,5.2,
2007-01,11.6,
2007-04,10.3,
2007-07,6.3,
2007-10,12.0,
2008-01,10.6,
2008-04,3.3,
2008-07,-0.9,
2008-10,0.2,
2009-01,11.2,
2009-04,0.8,
2009-07,3.1,
2009-10,-2.9,
2010-01,0.6,
2010-04,-6.0,
2010-07,-3.5,
2010-10,-2.5,
2011-01,3.7,
2011-04,1.0,
2011-07,2.0,
2011-10,-5.6,
2012-01,-3.0,
2012-04,-4.9,
2012-07,-0.8,
2012-10,-7.9,
2013-01,-2.5,
2013-04,-2.4,
2013-07,-8.6,
2013-10,-3.6,
2014-01,-5.7,
