"",BBAI3.Q.DE.N.V.LE.F.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:31,
2005-10,1391387,
2006-01,1407906,
2006-04,1405549,
2006-07,1429792,
2006-10,1444598,
2007-01,1464275,
2007-04,1474461,
2007-07,1477222,
2007-10,1485466,
2008-01,1462560,
2008-04,1451288,
2008-07,1435070,
2008-10,1416484,
2009-01,1417565,
2009-04,1425079,
2009-07,1447169,
2009-10,1452220,
2010-01,1490755,
2010-04,1503682,
2010-07,1516623,
2010-10,1513072,
2011-01,1526624,
2011-04,1532665,
2011-07,1539400,
2011-10,1542891,
2012-01,1578700,
2012-04,1592698,
2012-07,1628123,
2012-10,1651123,
2013-01,1682266,
2013-04,1675327,
2013-07,1685173,
2013-10,1697009,
2014-01,1741319,
2014-04,1776058,
2014-07,1801216,
