"",BBAI3.Q.DE.N.V.LE.F511.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:55,
2005-10,108669,
2006-01,105458,
2006-04,96677,
2006-07,115938,
2006-10,128922,
2007-01,134264,
2007-04,141922,
2007-07,128401,
2007-10,121258,
2008-01,108865,
2008-04,100564,
2008-07,90846,
2008-10,71919,
2009-01,57732,
2009-04,58215,
2009-07,71498,
2009-10,72524,
2010-01,78160,
2010-04,69537,
2010-07,69564,
2010-10,74562,
2011-01,77859,
2011-04,73439,
2011-07,57693,
2011-10,59600,
2012-01,71777,
2012-04,65569,
2012-07,75256,
2012-10,84872,
2013-01,89187,
2013-04,89949,
2013-07,92580,
2013-10,103681,
2014-01,100369,
2014-04,93295,
2014-07,95210,
