"",BBAI3.Q.DE.N.V.LE.F332B.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:00,
2005-10,6469,
2006-01,6547,
2006-04,6235,
2006-07,6993,
2006-10,7310,
2007-01,7281,
2007-04,8453,
2007-07,8440,
2007-10,5611,
2008-01,5569,
2008-04,5699,
2008-07,6906,
2008-10,9696,
2009-01,7986,
2009-04,9496,
2009-07,10074,
2009-10,10311,
2010-01,10690,
2010-04,11015,
2010-07,11210,
2010-10,10722,
2011-01,13228,
2011-04,14289,
2011-07,14361,
2011-10,14452,
2012-01,16318,
2012-04,15660,
2012-07,15501,
2012-10,18045,
2013-01,17131,
2013-04,14145,
2013-07,13088,
2013-10,11976,
2014-01,11103,
2014-04,15513,
2014-07,16885,
