"",BBK01.CEH6BQ,BBK01.CEH6BQ_FLAGS
"",Insurance technical reserves debtor: Insurance corporations                    creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:31,
1991-01,16.8,
1991-04,1.7,
1991-07,12.1,
1991-10,3.9,
1992-01,19.0,
1992-04,8.6,
1992-07,7.8,
1992-10,4.8,
1993-01,12.2,
1993-04,14.9,
1993-07,10.2,
1993-10,10.6,
1994-01,13.2,
1994-04,20.2,
1994-07,10.9,
1994-10,8.2,
1995-01,22.7,
1995-04,11.2,
1995-07,13.2,
1995-10,10.6,
1996-01,26.5,
1996-04,11.5,
1996-07,11.5,
1996-10,8.1,
1997-01,30.8,
1997-04,12.1,
1997-07,14.2,
1997-10,10.2,
1998-01,27.0,
1998-04,16.9,
1998-07,11.8,
1998-10,11.9,
1999-01,20.7,
1999-04,13.0,
1999-07,15.2,
1999-10,17.8,
2000-01,22.0,
2000-04,12.7,
2000-07,14.1,
2000-10,12.9,
2001-01,21.5,
2001-04,11.9,
2001-07,16.4,
2001-10,6.3,
2002-01,24.4,
2002-04,11.9,
2002-07,14.3,
2002-10,-10.2,
2003-01,17.8,
2003-04,12.0,
2003-07,12.0,
2003-10,16.5,
2004-01,16.1,
2004-04,9.3,
2004-07,10.6,
2004-10,19.3,
2005-01,17.4,
2005-04,10.5,
2005-07,12.9,
2005-10,36.4,
2006-01,17.0,
2006-04,13.4,
2006-07,15.4,
2006-10,19.1,
2007-01,12.5,
2007-04,10.4,
2007-07,12.4,
2007-10,28.0,
2008-01,7.9,
2008-04,6.8,
2008-07,7.5,
2008-10,7.4,
2009-01,21.6,
2009-04,13.4,
2009-07,11.9,
2009-10,17.0,
2010-01,27.6,
2010-04,18.9,
2010-07,13.1,
2010-10,17.8,
2011-01,18.5,
2011-04,12.3,
2011-07,9.9,
2011-10,13.0,
2012-01,25.4,
2012-04,17.5,
2012-07,13.7,
2012-10,17.1,
2013-01,22.9,
2013-04,18.3,
2013-07,14.5,
2013-10,17.4,
2014-01,29.8,
