"",BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.R00.A,BBDL1.M.DE.N.UNE.UBA000.A0000.A01.D00.0.R00.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / Germany / Social Security Code III and Social Security Code II / Rate / Unadjusted figure,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:06,
1991-12,8.3,
1992-01,8.3,
1992-02,8.2,
1992-03,7.7,
1992-04,7.6,
1992-05,7.4,
1992-06,7.3,
1992-07,7.8,
1992-08,7.7,
1992-09,7.5,
1992-10,7.6,
1992-11,7.7,
1992-12,8.1,
1993-01,9.0,
1993-02,9.0,
1993-03,8.7,
1993-04,8.6,
1993-05,8.4,
1993-06,8.5,
1993-07,9.1,
1993-08,9.1,
1993-09,8.9,
1993-10,9.1,
1993-11,9.2,
1993-12,9.6,
1994-01,10.5,
1994-02,10.5,
1994-03,10.1,
1994-04,9.9,
1994-05,9.5,
1994-06,9.3,
1994-07,9.6,
1994-08,9.4,
1994-09,9.1,
1994-10,8.9,
1994-11,8.9,
1994-12,9.2,
1995-01,10.0,
1995-02,10.0,
1995-03,9.6,
1995-04,9.4,
1995-05,9.0,
1995-06,9.0,
1995-07,9.4,
1995-08,9.3,
1995-09,9.2,
1995-10,9.2,
1995-11,9.3,
1995-12,9.9,
1996-01,10.8,
1996-02,11.1,
1996-03,10.8,
1996-04,10.4,
1996-05,10.0,
1996-06,9.9,
1996-07,10.2,
1996-08,10.2,
1996-09,10.1,
1996-10,10.1,
1996-11,10.3,
1996-12,10.8,
1997-01,12.2,
1997-02,12.2,
1997-03,11.7,
1997-04,11.3,
1997-05,11.1,
1997-06,11.0,
1997-07,11.4,
1997-08,11.4,
1997-09,11.2,
1997-10,11.2,
1997-11,11.3,
1997-12,11.8,
1998-01,12.6,
1998-02,12.6,
1998-03,12.1,
1998-04,11.4,
1998-05,10.9,
1998-06,10.5,
1998-07,10.7,
1998-08,10.6,
1998-09,10.3,
1998-10,10.1,
1998-11,10.2,
1998-12,10.9,
1999-01,11.5,
1999-02,11.6,
1999-03,11.1,
1999-04,10.7,
1999-05,10.2,
1999-06,10.1,
1999-07,10.3,
1999-08,10.3,
1999-09,10.1,
1999-10,9.9,
1999-11,10.0,
1999-12,10.3,
2000-01,11.0,
2000-02,10.9,
2000-03,10.6,
2000-04,9.8,
2000-05,9.3,
2000-06,9.1,
2000-07,9.3,
2000-08,9.3,
2000-09,9.0,
2000-10,8.9,
2000-11,8.9,
2000-12,9.3,
2001-01,10.0,
2001-02,10.1,
2001-03,9.8,
2001-04,9.5,
2001-05,9.0,
2001-06,8.9,
2001-07,9.2,
2001-08,9.2,
2001-09,9.0,
2001-10,9.0,
2001-11,9.2,
2001-12,9.6,
2002-01,10.4,
2002-02,10.4,
2002-03,10.0,
2002-04,9.7,
2002-05,9.5,
2002-06,9.5,
2002-07,9.7,
2002-08,9.6,
2002-09,9.5,
2002-10,9.4,
2002-11,9.7,
2002-12,10.1,
2003-01,11.1,
2003-02,11.3,
2003-03,11.1,
2003-04,10.8,
2003-05,10.4,
2003-06,10.2,
2003-07,10.4,
2003-08,10.4,
2003-09,10.1,
2003-10,10.0,
2003-11,10.0,
2003-12,10.4,
2004-01,11.0,
2004-02,11.1,
2004-03,10.9,
2004-04,10.7,
2004-05,10.3,
2004-06,10.2,
2004-07,10.5,
2004-08,10.5,
2004-09,10.3,
2004-10,10.1,
2004-11,10.3,
2004-12,10.8,
2005-01,12.3,
2005-02,12.7,
2005-03,12.7,
2005-04,12.2,
2005-05,11.8,
2005-06,11.5,
2005-07,11.7,
2005-08,11.6,
2005-09,11.2,
2005-10,11.0,
2005-11,10.9,
2005-12,11.1,
2006-01,12.1,
2006-02,12.2,
2006-03,12.0,
2006-04,11.5,
2006-05,10.9,
2006-06,10.5,
2006-07,10.5,
2006-08,10.5,
2006-09,10.1,
2006-10,9.8,
2006-11,9.6,
2006-12,9.6,
2007-01,10.2,
2007-02,10.1,
2007-03,9.8,
2007-04,9.5,
2007-05,9.1,
2007-06,8.8,
2007-07,8.8,
2007-08,8.8,
2007-09,8.4,
2007-10,8.2,
2007-11,8.0,
2007-12,8.1,
2008-01,8.7,
2008-02,8.6,
2008-03,8.3,
2008-04,8.1,
2008-05,7.8,
2008-06,7.5,
2008-07,7.6,
2008-08,7.6,
2008-09,7.3,
2008-10,7.1,
2008-11,7.1,
2008-12,7.4,
2009-01,8.3,
2009-02,8.5,
2009-03,8.5,
2009-04,8.5,
2009-05,8.2,
2009-06,8.1,
2009-07,8.2,
2009-08,8.2,
2009-09,7.9,
2009-10,7.7,
2009-11,7.6,
2009-12,7.8,
2010-01,8.6,
2010-02,8.6,
2010-03,8.5,
2010-04,8.1,
2010-05,7.7,
2010-06,7.5,
2010-07,7.6,
2010-08,7.6,
2010-09,7.2,
2010-10,7.0,
2010-11,6.9,
2010-12,7.1,
2011-01,7.9,
2011-02,7.9,
2011-03,7.6,
2011-04,7.3,
2011-05,7.0,
2011-06,6.9,
2011-07,7.0,
2011-08,7.0,
2011-09,6.6,
2011-10,6.5,
2011-11,6.4,
2011-12,6.6,
2012-01,7.3,
2012-02,7.4,
2012-03,7.2,
2012-04,7.0,
2012-05,6.7,
2012-06,6.6,
2012-07,6.8,
2012-08,6.8,
2012-09,6.5,
2012-10,6.5,
2012-11,6.5,
2012-12,6.7,
2013-01,7.4,
2013-02,7.4,
2013-03,7.3,
2013-04,7.1,
2013-05,6.8,
2013-06,6.6,
2013-07,6.8,
2013-08,6.8,
2013-09,6.6,
2013-10,6.5,
2013-11,6.5,
2013-12,6.7,
