"",BBSF2.M.1.P.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
1986-10,-,Nothing exists
1986-11,-,Nothing exists
1986-12,-,Nothing exists
1987-01,-,Nothing exists
1987-02,-,Nothing exists
1987-03,-,Nothing exists
1987-04,-,Nothing exists
1987-05,-,Nothing exists
1987-06,-,Nothing exists
1987-07,-,Nothing exists
1987-08,-,Nothing exists
1987-09,-,Nothing exists
1987-10,-,Nothing exists
1987-11,-,Nothing exists
1987-12,-,Nothing exists
1988-01,-,Nothing exists
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,231,
1994-10,655,
1994-11,1438,
1994-12,8510,
1995-01,7236,
1995-02,5252,
1995-03,4507,
1995-04,4269,
1995-05,4631,
1995-06,4858,
1995-07,5249,
1995-08,4969,
1995-09,4674,
1995-10,4864,
1995-11,4928,
1995-12,7702,
1996-01,7027,
1996-02,7261,
1996-03,7413,
1996-04,7435,
1996-05,7273,
1996-06,6723,
1996-07,6348,
1996-08,6239,
1996-09,6144,
1996-10,6134,
1996-11,5932,
1996-12,6075,
1997-01,5384,
1997-02,5145,
1997-03,4933,
1997-04,4906,
1997-05,4726,
1997-06,4914,
1997-07,4920,
1997-08,4764,
1997-09,4473,
1997-10,4193,
1997-11,4277,
1997-12,4748,
1998-01,4924,
1998-02,5608,
1998-03,5668,
1998-04,5160,
1998-05,4987,
1998-06,4813,
1998-07,4856,
1998-08,5001,
1998-09,4763,
1998-10,5071,
1998-11,5439,
1998-12,5719,
1999-01,5848,
1999-02,5896,
1999-03,5863,
1999-04,5786,
1999-05,6519,
1999-06,5270,
1999-07,5334,
1999-08,5408,
1999-09,5597,
1999-10,6435,
1999-11,4845,
1999-12,4528,
2000-01,5992,
2000-02,5968,
2000-03,6331,
2000-04,6068,
2000-05,5660,
2000-06,5345,
2000-07,5007,
2000-08,4831,
2000-09,4305,
2000-10,4106,
2000-11,4055,
2000-12,3951,
2001-01,3816,
2001-02,4205,
2001-03,4203,
2001-04,4441,
2001-05,3973,
2001-06,4540,
2001-07,5141,
2001-08,5004,
2001-09,5509,
2001-10,5511,
2001-11,5961,
2001-12,7886,
2002-01,8319,
2002-02,8917,
2002-03,8048,
2002-04,8208,
2002-05,8600,
2002-06,7692,
2002-07,7558,
2002-08,8273,
2002-09,7687,
2002-10,8182,
2002-11,8364,
2002-12,7908,
2003-01,8852,
2003-02,9326,
2003-03,8543,
2003-04,7841,
2003-05,7186,
2003-06,6501,
2003-07,6651,
2003-08,6653,
2003-09,7079,
2003-10,6403,
2003-11,6303,
2003-12,6912,
2004-01,6400,
2004-02,6465,
2004-03,6212,
2004-04,6510,
2004-05,5782,
2004-06,6423,
2004-07,9569,
2004-08,11444,
2004-09,10064,
2004-10,8996,
2004-11,7689,
2004-12,7159,
2005-01,6478,
2005-02,6817,
2005-03,8095,
2005-04,9277,
2005-05,8327,
2005-06,7827,
2005-07,8958,
2005-08,8800,
2005-09,8923,
2005-10,6017,
2005-11,4559,
2005-12,4251,
2006-01,3655,
2006-02,3951,
2006-03,3098,
2006-04,2916,
2006-05,3527,
2006-06,3289,
2006-07,3419,
2006-08,3288,
2006-09,2428,
2006-10,2697,
2006-11,2828,
2006-12,2965,
2007-01,2780,
2007-02,2171,
2007-03,2080,
2007-04,2145,
2007-05,2133,
2007-06,3016,
2007-07,2296,
2007-08,3131,
2007-09,3160,
2007-10,2182,
2007-11,2825,
2007-12,3487,
2008-01,3238,
2008-02,3703,
2008-03,3463,
2008-04,3139,
2008-05,3134,
2008-06,3035,
2008-07,3249,
2008-08,3653,
2008-09,4196,
2008-10,4355,
2008-11,4197,
2008-12,3933,
2009-01,3804,
2009-02,3666,
2009-03,3382,
2009-04,3445,
2009-05,3300,
2009-06,3181,
2009-07,2091,
2009-08,1987,
2009-09,1934,
2009-10,1982,
2009-11,1890,
2009-12,1767,
2010-01,2033,
2010-02,1957,
2010-03,1715,
2010-04,1710,
2010-05,1931,
2010-06,1965,
2010-07,1894,
2010-08,1810,
2010-09,1865,
2010-10,1868,
2010-11,1967,
2010-12,2254,
2011-01,2013,
2011-02,2255,
2011-03,2449,
2011-04,2171,
2011-05,2018,
2011-06,2124,
2011-07,500,
2011-08,491,
2011-09,589,
2011-10,640,
2011-11,600,
2011-12,529,
2012-01,409,
2012-02,397,
2012-03,432,
2012-04,427,
2012-05,379,
2012-06,432,
2012-07,383,
2012-08,340,
2012-09,327,
2012-10,303,
2012-11,297,
2012-12,302,
2013-01,303,
2013-02,282,
2013-03,337,
2013-04,350,
2013-05,327,
2013-06,364,
2013-07,355,
2013-08,350,
2013-09,357,
2013-10,347,
2013-11,298,
2013-12,311,
2014-01,341,
2014-02,327,
2014-03,309,
2014-04,307,
2014-05,299,
2014-06,286,
2014-07,324,
2014-08,266,
2014-09,287,
2014-10,272,
2014-11,246,
