"",BBK01.CEH4QB,BBK01.CEH4QB_FLAGS
"",Loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:26,
1991-01,2.5,
1991-04,0.0,
1991-07,3.4,
1991-10,-1.8,
1992-01,2.4,
1992-04,1.2,
1992-07,2.5,
1992-10,-2.2,
1993-01,2.4,
1993-04,2.3,
1993-07,3.3,
1993-10,-1.0,
1994-01,2.6,
1994-04,2.6,
1994-07,1.4,
1994-10,1.3,
1995-01,-4.9,
1995-04,2.8,
1995-07,2.7,
1995-10,2.3,
1996-01,4.6,
1996-04,1.1,
1996-07,2.2,
1996-10,-2.6,
1997-01,2.7,
1997-04,2.3,
1997-07,1.7,
1997-10,-2.4,
1998-01,1.8,
1998-04,0.0,
1998-07,1.9,
1998-10,0.7,
1999-01,1.2,
1999-04,2.0,
1999-07,1.5,
1999-10,4.4,
2000-01,4.8,
2000-04,2.0,
2000-07,2.2,
2000-10,-3.2,
2001-01,2.1,
2001-04,2.6,
2001-07,1.7,
2001-10,8.6,
2002-01,3.7,
2002-04,2.7,
2002-07,2.9,
2002-10,13.3,
2003-01,3.7,
2003-04,2.4,
2003-07,2.8,
2003-10,15.2,
2004-01,6.7,
2004-04,2.4,
2004-07,1.9,
2004-10,8.7,
2005-01,0.9,
2005-04,0.3,
2005-07,0.4,
2005-10,-9.8,
2006-01,-0.1,
2006-04,1.2,
2006-07,1.3,
2006-10,-3.2,
2007-01,-3.6,
2007-04,0.2,
2007-07,0.3,
2007-10,1.0,
2008-01,-2.6,
2008-04,1.3,
2008-07,1.6,
2008-10,0.2,
2009-01,9.2,
2009-04,5.5,
2009-07,2.6,
2009-10,2.8,
2010-01,6.0,
2010-04,2.4,
2010-07,1.6,
2010-10,1.6,
2011-01,2.2,
2011-04,1.2,
2011-07,1.3,
2011-10,0.2,
2012-01,2.6,
2012-04,0.5,
2012-07,1.7,
2012-10,-0.8,
2013-01,2.0,
2013-04,-0.5,
2013-07,0.1,
2013-10,-0.5,
2014-01,3.4,
