"",BBK01.CEHFQB,BBK01.CEHFQB_FLAGS
"",longer-term loans debtor: All sectors   (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:27,
1991-01,2.1,
1991-04,-0.3,
1991-07,3.1,
1991-10,-2.2,
1992-01,2.1,
1992-04,0.5,
1992-07,2.2,
1992-10,-2.4,
1993-01,1.8,
1993-04,1.9,
1993-07,3.0,
1993-10,-1.6,
1994-01,1.8,
1994-04,1.9,
1994-07,1.5,
1994-10,0.5,
1995-01,-5.1,
1995-04,2.4,
1995-07,2.1,
1995-10,2.0,
1996-01,3.9,
1996-04,0.8,
1996-07,1.9,
1996-10,-3.3,
1997-01,2.2,
1997-04,1.6,
1997-07,0.9,
1997-10,-2.5,
1998-01,1.3,
1998-04,-0.4,
1998-07,1.0,
1998-10,0.5,
1999-01,0.8,
1999-04,0.8,
1999-07,0.9,
1999-10,3.3,
2000-01,0.7,
2000-04,1.7,
2000-07,1.4,
2000-10,-3.8,
2001-01,1.5,
2001-04,1.4,
2001-07,1.9,
2001-10,6.6,
2002-01,2.7,
2002-04,1.5,
2002-07,-0.6,
2002-10,13.1,
2003-01,1.1,
2003-04,2.4,
2003-07,2.1,
2003-10,13.7,
2004-01,4.4,
2004-04,1.5,
2004-07,1.4,
2004-10,8.8,
2005-01,1.4,
2005-04,0.7,
2005-07,1.0,
2005-10,-6.4,
2006-01,2.5,
2006-04,2.6,
2006-07,2.0,
2006-10,-0.9,
2007-01,2.6,
2007-04,2.0,
2007-07,2.2,
2007-10,1.6,
2008-01,-2.5,
2008-04,1.7,
2008-07,1.5,
2008-10,0.8,
2009-01,8.7,
2009-04,5.6,
2009-07,2.6,
2009-10,3.2,
2010-01,4.9,
2010-04,2.0,
2010-07,1.0,
2010-10,1.1,
2011-01,1.5,
2011-04,1.2,
2011-07,0.6,
2011-10,-0.6,
2012-01,2.0,
2012-04,-0.6,
2012-07,0.9,
2012-10,-0.5,
2013-01,2.4,
2013-04,1.0,
2013-07,1.6,
2013-10,-0.3,
2014-01,1.8,
