"",BBK01.CELL0K,BBK01.CELL0K_FLAGS
"",Investment fund shares debtor: Total                                            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:07,
1999-01,8.8,
1999-04,4.2,
1999-07,3.6,
1999-10,11.1,
2000-01,7.6,
2000-04,8.4,
2000-07,5.4,
2000-10,11.3,
2001-01,7.9,
2001-04,1.1,
2001-07,3.8,
2001-10,13.9,
2002-01,7.6,
2002-04,8.9,
2002-07,2.8,
2002-10,6.6,
2003-01,2.6,
2003-04,1.9,
2003-07,1.6,
2003-10,5.8,
2004-01,2.2,
2004-04,-0.6,
2004-07,-5.2,
2004-10,0.5,
2005-01,6.4,
2005-04,3.0,
2005-07,3.1,
2005-10,5.6,
2006-01,7.4,
2006-04,1.8,
2006-07,-2.8,
2006-10,14.7,
2007-01,4.3,
2007-04,2.8,
2007-07,3.5,
2007-10,-2.7,
2008-01,4.8,
2008-04,4.2,
2008-07,5.0,
2008-10,5.4,
2009-01,-1.4,
2009-04,2.5,
2009-07,-2.1,
2009-10,5.4,
2010-01,10.8,
2010-04,7.3,
2010-07,8.2,
2010-10,13.7,
2011-01,6.8,
2011-04,11.5,
2011-07,4.1,
2011-10,13.4,
2012-01,13.8,
2012-04,5.1,
2012-07,0.3,
2012-10,15.4,
2013-01,19.5,
2013-04,6.2,
2013-07,7.9,
2013-10,12.0,
2014-01,14.9,
2014-04,6.5,
2014-07,5.8,
