"",BBK01.CEBFQB,BBK01.CEBFQB_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:45,
1991-01,88.9,
1991-04,88.5,
1991-07,91.6,
1991-10,89.4,
1992-01,91.4,
1992-04,91.9,
1992-07,94.2,
1992-10,91.8,
1993-01,93.6,
1993-04,95.5,
1993-07,98.5,
1993-10,96.9,
1994-01,98.6,
1994-04,100.5,
1994-07,102.0,
1994-10,102.5,
1995-01,97.5,
1995-04,99.9,
1995-07,102.0,
1995-10,103.9,
1996-01,107.8,
1996-04,108.6,
1996-07,110.5,
1996-10,107.2,
1997-01,109.6,
1997-04,111.2,
1997-07,112.2,
1997-10,107.4,
1998-01,109.7,
1998-04,110.3,
1998-07,111.3,
1998-10,105.7,
1999-01,96.7,
1999-04,97.5,
1999-07,98.4,
1999-10,101.7,
2000-01,102.4,
2000-04,104.1,
2000-07,105.6,
2000-10,101.7,
2001-01,103.2,
2001-04,104.6,
2001-07,106.5,
2001-10,113.1,
2002-01,115.8,
2002-04,117.3,
2002-07,116.7,
2002-10,129.7,
2003-01,131.1,
2003-04,133.7,
2003-07,136.1,
2003-10,149.2,
2004-01,153.6,
2004-04,155.0,
2004-07,156.4,
2004-10,165.2,
2005-01,166.2,
2005-04,166.4,
2005-07,166.9,
2005-10,160.5,
2006-01,163.0,
2006-04,165.7,
2006-07,167.6,
2006-10,166.7,
2007-01,169.3,
2007-04,171.3,
2007-07,173.5,
2007-10,175.1,
2008-01,172.7,
2008-04,174.3,
2008-07,175.8,
2008-10,176.7,
2009-01,185.3,
2009-04,190.9,
2009-07,193.5,
2009-10,196.7,
2010-01,201.6,
2010-04,203.6,
2010-07,204.6,
2010-10,205.7,
2011-01,207.2,
2011-04,208.3,
2011-07,208.9,
2011-10,208.3,
2012-01,210.3,
2012-04,209.7,
2012-07,210.6,
2012-10,210.2,
2013-01,212.6,
2013-04,213.6,
2013-07,215.2,
2013-10,214.9,
2014-01,216.7,
