"",BBAI3.Q.DE.N.V.LE.F331.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:58,
2005-10,1022,
2006-01,311,
2006-04,309,
2006-07,378,
2006-10,626,
2007-01,1004,
2007-04,1306,
2007-07,616,
2007-10,983,
2008-01,1109,
2008-04,834,
2008-07,876,
2008-10,1183,
2009-01,773,
2009-04,773,
2009-07,487,
2009-10,713,
2010-01,531,
2010-04,716,
2010-07,744,
2010-10,1047,
2011-01,564,
2011-04,504,
2011-07,794,
2011-10,629,
2012-01,708,
2012-04,782,
2012-07,957,
2012-10,922,
2013-01,913,
2013-04,630,
2013-07,606,
2013-10,632,
2014-01,732,
2014-04,565,
2014-07,497,
