"",BBAI3.Q.DE.N.V.LE.F4.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:53,
2005-10,89769,
2006-01,90373,
2006-04,90633,
2006-07,91131,
2006-10,91574,
2007-01,91179,
2007-04,89743,
2007-07,89718,
2007-10,88855,
2008-01,86152,
2008-04,82534,
2008-07,80124,
2008-10,77031,
2009-01,76173,
2009-04,73948,
2009-07,72627,
2009-10,71570,
2010-01,72673,
2010-04,71632,
2010-07,71917,
2010-10,72261,
2011-01,73079,
2011-04,71902,
2011-07,71682,
2011-10,72107,
2012-01,72933,
2012-04,75470,
2012-07,77154,
2012-10,77133,
2013-01,78117,
2013-04,78954,
2013-07,79614,
2013-10,80147,
2014-01,83101,
2014-04,83912,
2014-07,83585,
