"",BBAI3.Q.DE.N.V.LE.T.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.T.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:40,
2005-10,1436726,
2006-01,1452992,
2006-04,1450641,
2006-07,1474602,
2006-10,1489230,
2007-01,1506703,
2007-04,1515930,
2007-07,1518666,
2007-10,1526167,
2008-01,1500631,
2008-04,1489626,
2008-07,1473209,
2008-10,1454730,
2009-01,1455854,
2009-04,1463193,
2009-07,1485441,
2009-10,1490309,
2010-01,1529389,
2010-04,1542527,
2010-07,1556025,
2010-10,1553349,
2011-01,1566762,
2011-04,1572724,
2011-07,1579630,
2011-10,1584579,
2012-01,1620633,
2012-04,1635371,
2012-07,1671154,
2012-10,1694418,
2013-01,1726077,
2013-04,1719628,
2013-07,1730700,
2013-10,1743444,
2014-01,1788350,
2014-04,1823433,
2014-07,1849610,
