"",BBK01.SUD280,BBK01.SUD280_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations up to EUR 0.25 million, floating rate or  initial rate fixation up to 1 year, with original maturity over 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:20,
2010-06,229,
2010-07,280,
2010-08,182,
2010-09,202,
2010-10,260,
2010-11,178,
2010-12,270,
2011-01,281,
2011-02,179,
2011-03,249,
2011-04,263,
2011-05,241,
2011-06,242,
2011-07,321,
2011-08,375,
2011-09,454,
2011-10,589,
2011-11,468,
2011-12,557,
2012-01,610,
2012-02,536,
2012-03,592,
2012-04,616,
2012-05,600,
2012-06,581,
2012-07,731,
2012-08,533,
2012-09,521,
2012-10,635,
2012-11,583,
2012-12,612,
2013-01,686,
2013-02,566,
2013-03,656,
2013-04,676,
2013-05,652,
2013-06,685,
2013-07,747,
2013-08,562,
2013-09,658,
2013-10,719,
2013-11,643,
2013-12,727,
2014-01,712,
2014-02,600,
2014-03,862,
2014-04,786,
2014-05,691,
2014-06,754,
2014-07,820,
2014-08,594,
2014-09,683,
2014-10,851,
2014-11,714,
2014-12,833,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. Excluding overdrafts. p = Provisional,
