"",BBK01.CEH40C,BBK01.CEH40C_FLAGS
"",Loans debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:29,
1991-01,2.4,
1991-04,2.3,
1991-07,2.0,
1991-10,1.5,
1992-01,2.5,
1992-04,2.4,
1992-07,1.8,
1992-10,2.4,
1993-01,1.8,
1993-04,1.6,
1993-07,2.6,
1993-10,1.7,
1994-01,3.1,
1994-04,2.5,
1994-07,1.7,
1994-10,2.1,
1995-01,3.4,
1995-04,3.3,
1995-07,1.3,
1995-10,-1.4,
1996-01,2.8,
1996-04,3.7,
1996-07,1.4,
1996-10,-4.3,
1997-01,3.0,
1997-04,2.9,
1997-07,0.2,
1997-10,-4.6,
1998-01,3.0,
1998-04,2.9,
1998-07,1.0,
1998-10,-5.0,
1999-01,-0.5,
1999-04,-0.2,
1999-07,0.0,
1999-10,1.9,
2000-01,0.7,
2000-04,1.1,
2000-07,1.0,
2000-10,0.9,
2001-01,0.0,
2001-04,0.4,
2001-07,-0.8,
2001-10,0.9,
2002-01,-0.7,
2002-04,-0.3,
2002-07,-1.1,
2002-10,0.2,
2003-01,0.2,
2003-04,-0.6,
2003-07,-0.4,
2003-10,-1.3,
2004-01,0.6,
2004-04,-1.2,
2004-07,-4.9,
2004-10,-2.2,
2005-01,1.0,
2005-04,-2.8,
2005-07,-1.3,
2005-10,-5.0,
2006-01,-0.8,
2006-04,-0.3,
2006-07,-1.8,
2006-10,-1.3,
2007-01,-0.6,
2007-04,0.4,
2007-07,-0.1,
2007-10,1.0,
2008-01,-2.1,
2008-04,3.7,
2008-07,-2.2,
2008-10,9.9,
2009-01,-2.0,
2009-04,3.9,
2009-07,3.5,
2009-10,-3.4,
2010-01,-0.2,
2010-04,26.2,
2010-07,-7.5,
2010-10,36.0,
2011-01,-10.2,
2011-04,14.8,
2011-07,-6.6,
2011-10,-5.6,
2012-01,6.8,
2012-04,30.3,
2012-07,3.0,
2012-10,11.9,
2013-01,-0.5,
2013-04,12.5,
2013-07,-15.8,
2013-10,12.7,
2014-01,-9.8,
