"",BBAI3.Q.DE.N.V.LE.F51M.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:21,
2005-10,70662,
2006-01,68248,
2006-04,66101,
2006-07,67693,
2006-10,70496,
2007-01,67573,
2007-04,65058,
2007-07,66786,
2007-10,66836,
2008-01,65832,
2008-04,65055,
2008-07,63905,
2008-10,64810,
2009-01,63974,
2009-04,61541,
2009-07,60783,
2009-10,60152,
2010-01,61392,
2010-04,62043,
2010-07,60319,
2010-10,58040,
2011-01,59314,
2011-04,61275,
2011-07,61900,
2011-10,62869,
2012-01,64396,
2012-04,65312,
2012-07,64944,
2012-10,58780,
2013-01,65304,
2013-04,65714,
2013-07,66553,
2013-10,66665,
2014-01,66486,
2014-04,66082,
2014-07,66882,
