"",BBSF2.M.1.S.I1251.DAC01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.DAC01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Life insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:05,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,1,
2009-12,1,
2010-01,1,
2010-02,1,
2010-03,1,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,2,
2010-10,2,
2010-11,2,
2010-12,3,
2011-01,3,
2011-02,3,
2011-03,3,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,3,
2011-10,3,
2011-11,3,
2011-12,3,
2012-01,3,
2012-02,3,
2012-03,3,
2012-04,3,
2012-05,3,
2012-06,3,
2012-07,3,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,3,
2012-12,3,
2013-01,3,
2013-02,3,
2013-03,3,
2013-04,3,
2013-05,3,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,3,
2013-11,3,
2013-12,3,
2014-01,3,
2014-02,3,
2014-03,3,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,3,
2014-10,3,
2014-11,3,
