"",BBK01.CE4AAB,BBK01.CE4AAB_FLAGS
"",Claims on insurance corporations debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:56,
1991-01,15.9,
1991-04,1.5,
1991-07,11.3,
1991-10,3.2,
1992-01,16.5,
1992-04,7.3,
1992-07,6.6,
1992-10,5.1,
1993-01,10.4,
1993-04,12.8,
1993-07,8.6,
1993-10,10.7,
1994-01,12.7,
1994-04,16.9,
1994-07,8.5,
1994-10,9.2,
1995-01,21.5,
1995-04,9.4,
1995-07,10.1,
1995-10,10.0,
1996-01,24.0,
1996-04,10.3,
1996-07,10.2,
1996-10,10.3,
1997-01,23.8,
1997-04,10.3,
1997-07,11.7,
1997-10,11.9,
1998-01,24.2,
1998-04,12.1,
1998-07,9.7,
1998-10,13.9,
1999-01,18.7,
1999-04,12.0,
1999-07,14.0,
1999-10,17.0,
2000-01,19.6,
2000-04,11.7,
2000-07,13.1,
2000-10,11.5,
2001-01,19.1,
2001-04,10.9,
2001-07,14.1,
2001-10,2.4,
2002-01,20.1,
2002-04,10.7,
2002-07,12.7,
2002-10,-9.6,
2003-01,16.4,
2003-04,10.5,
2003-07,11.0,
2003-10,8.2,
2004-01,14.2,
2004-04,9.0,
2004-07,9.5,
2004-10,15.5,
2005-01,14.9,
2005-04,9.8,
2005-07,10.7,
2005-10,23.9,
2006-01,18.5,
2006-04,15.0,
2006-07,17.0,
2006-10,15.6,
2007-01,15.8,
2007-04,13.6,
2007-07,15.5,
2007-10,27.3,
2008-01,7.5,
2008-04,6.5,
2008-07,7.3,
2008-10,8.5,
2009-01,20.9,
2009-04,12.8,
2009-07,11.4,
2009-10,17.0,
2010-01,26.2,
2010-04,17.6,
2010-07,11.9,
2010-10,15.8,
2011-01,16.7,
2011-04,10.5,
2011-07,8.1,
2011-10,10.5,
2012-01,24.3,
2012-04,16.5,
2012-07,12.8,
2012-10,16.2,
2013-01,24.6,
2013-04,16.9,
2013-07,12.5,
2013-10,16.1,
2014-01,25.3,
