"",BBAI3.Q.DE.N.V.LE.F511.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:39,
2005-10,64248,
2006-01,62338,
2006-04,57944,
2006-07,70115,
2006-10,78924,
2007-01,81453,
2007-04,86783,
2007-07,78888,
2007-10,74997,
2008-01,66689,
2008-04,61816,
2008-07,56000,
2008-10,44677,
2009-01,35544,
2009-04,36090,
2009-07,44597,
2009-10,45308,
2010-01,47767,
2010-04,42329,
2010-07,42311,
2010-10,45071,
2011-01,46469,
2011-04,43927,
2011-07,34574,
2011-10,35802,
2012-01,42801,
2012-04,39228,
2012-07,45155,
2012-10,50984,
2013-01,52948,
2013-04,53531,
2013-07,55237,
2013-10,61798,
2014-01,59118,
2014-04,55258,
2014-07,56251,
