"",BBAI3.Q.DE.N.V.LE.F51.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:19,
2005-10,6947,
2006-01,6608,
2006-04,6076,
2006-07,6977,
2006-10,7567,
2007-01,7852,
2007-04,8575,
2007-07,8226,
2007-10,7948,
2008-01,7137,
2008-04,6710,
2008-07,6126,
2008-10,5241,
2009-01,4206,
2009-04,4292,
2009-07,5264,
2009-10,5391,
2010-01,5799,
2010-04,5224,
2010-07,5237,
2010-10,5668,
2011-01,6053,
2011-04,5813,
2011-07,4612,
2011-10,4804,
2012-01,5789,
2012-04,5337,
2012-07,6132,
2012-10,6947,
2013-01,7438,
2013-04,7631,
2013-07,7899,
2013-10,8920,
2014-01,8596,
2014-04,8379,
2014-07,8680,
