"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.EE.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Estonia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:57,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,1,
2010-01,2,
2010-02,2,
2010-03,3,
2010-04,3,
2010-05,3,
2010-06,3,
2010-07,2,
2010-08,3,
2010-09,3,
2010-10,3,
2010-11,3,
2010-12,3,
2011-01,3,
2011-02,3,
2011-03,3,
2011-04,3,
2011-05,2,
2011-06,2,
2011-07,2,
2011-08,2,
2011-09,2,
2011-10,2,
2011-11,2,
2011-12,2,
2012-01,2,
2012-02,2,
2012-03,2,
2012-04,2,
2012-05,2,
2012-06,3,
2012-07,3,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,3,
2012-12,3,
2013-01,3,
2013-02,3,
2013-03,4,
2013-04,4,
2013-05,3,
2013-06,3,
2013-07,4,
2013-08,4,
2013-09,4,
2013-10,4,
2013-11,4,
2013-12,4,
2014-01,4,
2014-02,3,
2014-03,3,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,3,
2014-10,3,
2014-11,3,
