"",BBK01.SUD628,BBK01.SUD628_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with collateral and/or guarantees, initial rate fixation of over 1 year and up to 5 years",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:56,
2010-06,545,
2010-07,918,
2010-08,303,
2010-09,443,
2010-10,746,
2010-11,592,
2010-12,1206,
2011-01,950,
2011-02,624,
2011-03,743,
2011-04,922,
2011-05,221,
2011-06,1049,
2011-07,999,
2011-08,531,
2011-09,1071,
2011-10,551,
2011-11,767,
2011-12,1035,
2012-01,749,
2012-02,536,
2012-03,550,
2012-04,922,
2012-05,375,
2012-06,936,
2012-07,1097,
2012-08,526,
2012-09,441,
2012-10,669,
2012-11,1066,
2012-12,2043,
2013-01,334,
2013-02,362,
2013-03,861,
2013-04,560,
2013-05,474,
2013-06,1058,
2013-07,985,
2013-08,459,
2013-09,926,
2013-10,1523,
2013-11,415,
2013-12,1542,
2014-01,519,
2014-02,300,
2014-03,408,
2014-04,658,
2014-05,477,
2014-06,1055,
2014-07,786,
2014-08,854,
2014-09,488,
2014-10,803,
2014-11,618,
2014-12,1194,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
