"",BBK01.CE4AAQ,BBK01.CE4AAQ_FLAGS
"",Claims on insurance corporations debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:32,
1991-01,16.7,
1991-04,1.7,
1991-07,12.0,
1991-10,3.9,
1992-01,18.8,
1992-04,8.5,
1992-07,7.7,
1992-10,4.6,
1993-01,12.1,
1993-04,14.8,
1993-07,10.2,
1993-10,10.5,
1994-01,13.2,
1994-04,20.1,
1994-07,10.8,
1994-10,8.1,
1995-01,22.7,
1995-04,11.1,
1995-07,13.1,
1995-10,10.5,
1996-01,26.4,
1996-04,11.5,
1996-07,11.4,
1996-10,8.1,
1997-01,30.8,
1997-04,12.1,
1997-07,14.2,
1997-10,10.2,
1998-01,27.0,
1998-04,16.8,
1998-07,11.7,
1998-10,11.9,
1999-01,20.6,
1999-04,13.0,
1999-07,15.1,
1999-10,17.7,
2000-01,21.8,
2000-04,12.5,
2000-07,13.9,
2000-10,12.7,
2001-01,21.4,
2001-04,11.8,
2001-07,16.2,
2001-10,6.2,
2002-01,24.1,
2002-04,11.7,
2002-07,14.0,
2002-10,-10.4,
2003-01,17.7,
2003-04,11.8,
2003-07,11.8,
2003-10,16.4,
2004-01,16.0,
2004-04,9.1,
2004-07,10.4,
2004-10,19.1,
2005-01,17.3,
2005-04,10.4,
2005-07,12.7,
2005-10,36.3,
2006-01,16.8,
2006-04,13.2,
2006-07,15.2,
2006-10,18.9,
2007-01,12.5,
2007-04,10.3,
2007-07,12.3,
2007-10,27.9,
2008-01,7.7,
2008-04,6.7,
2008-07,7.3,
2008-10,7.3,
2009-01,21.5,
2009-04,13.3,
2009-07,11.8,
2009-10,16.9,
2010-01,27.5,
2010-04,18.8,
2010-07,13.0,
2010-10,17.7,
2011-01,18.3,
2011-04,12.2,
2011-07,9.7,
2011-10,12.9,
2012-01,25.3,
2012-04,17.4,
2012-07,13.6,
2012-10,17.0,
2013-01,22.8,
2013-04,18.3,
2013-07,14.4,
2013-10,17.3,
2014-01,29.7,
