"",BBAI3.Q.DE.N.V.LE.F62.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:22,
2005-10,4682,
2006-01,4730,
2006-04,4800,
2006-07,4814,
2006-10,4890,
2007-01,4938,
2007-04,4998,
2007-07,5030,
2007-10,5100,
2008-01,5182,
2008-04,5273,
2008-07,5337,
2008-10,5379,
2009-01,5441,
2009-04,5519,
2009-07,5541,
2009-10,5608,
2010-01,5671,
2010-04,5747,
2010-07,5793,
2010-10,5852,
2011-01,5921,
2011-04,5978,
2011-07,5996,
2011-10,6022,
2012-01,6127,
2012-04,6216,
2012-07,6260,
2012-10,6340,
2013-01,6392,
2013-04,6408,
2013-07,6384,
2013-10,6411,
2014-01,6538,
2014-04,6650,
2014-07,6709,
