"",BBSF2.M.1.S.I1312.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1312.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / State Government / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:14,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,1,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,2,
2010-09,2,
2010-10,2,
2010-11,2,
2010-12,3,
2011-01,3,
2011-02,3,
2011-03,3,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,3,
2011-10,3,
2011-11,6,
2011-12,6,
2012-01,6,
2012-02,6,
2012-03,6,
2012-04,6,
2012-05,6,
2012-06,6,
2012-07,6,
2012-08,6,
2012-09,6,
2012-10,6,
2012-11,6,
2012-12,6,
2013-01,6,
2013-02,6,
2013-03,7,
2013-04,7,
2013-05,7,
2013-06,7,
2013-07,7,
2013-08,7,
2013-09,7,
2013-10,7,
2013-11,7,
2013-12,7,
2014-01,7,
2014-02,7,
2014-03,7,
2014-04,8,
2014-05,8,
2014-06,8,
2014-07,9,
2014-08,9,
2014-09,9,
2014-10,9,
2014-11,9,
