"",BBK01.CEFB0K,BBK01.CEFB0K_FLAGS
"",long-term debt securities  debtor: Total                              creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:14,
1999-01,88.5,
1999-04,89.1,
1999-07,86.8,
1999-10,73.8,
2000-01,74.0,
2000-04,72.7,
2000-07,70.8,
2000-10,65.0,
2001-01,65.5,
2001-04,66.6,
2001-07,65.2,
2001-10,72.4,
2002-01,76.8,
2002-04,75.6,
2002-07,77.8,
2002-10,76.6,
2003-01,80.8,
2003-04,84.9,
2003-07,85.7,
2003-10,113.0,
2004-01,113.7,
2004-04,115.5,
2004-07,113.9,
2004-10,120.6,
2005-01,122.0,
2005-04,126.5,
2005-07,129.3,
2005-10,140.5,
2006-01,139.0,
2006-04,140.1,
2006-07,139.3,
2006-10,138.0,
2007-01,141.2,
2007-04,142.4,
2007-07,141.3,
2007-10,140.4,
2008-01,142.1,
2008-04,139.2,
2008-07,142.4,
2008-10,145.6,
2009-01,149.3,
2009-04,150.1,
2009-07,150.1,
2009-10,150.4,
2010-01,159.7,
2010-04,166.7,
2010-07,168.1,
2010-10,171.2,
2011-01,176.3,
2011-04,182.9,
2011-07,179.6,
2011-10,183.3,
2012-01,199.5,
2012-04,208.8,
2012-07,225.1,
2012-10,235.1,
2013-01,264.1,
2013-04,268.3,
2013-07,274.9,
2013-10,283.6,
2014-01,297.6,
2014-04,314.2,
2014-07,327.8,
