"",BBK01.CEBXB0,BBK01.CEBXB0_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  debtor: Insurance corporations                      creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:27,
1991-01,91.1,
1991-04,91.4,
1991-07,92.2,
1991-10,93.3,
1992-01,104.6,
1992-04,106.0,
1992-07,106.7,
1992-10,102.9,
1993-01,110.9,
1993-04,115.8,
1993-07,117.7,
1993-10,113.5,
1994-01,114.4,
1994-04,124.6,
1994-07,128.2,
1994-10,125.1,
1995-01,143.4,
1995-04,145.8,
1995-07,150.4,
1995-10,150.5,
1996-01,165.9,
1996-04,168.1,
1996-07,169.8,
1996-10,164.4,
1997-01,179.1,
1997-04,181.4,
1997-07,185.0,
1997-10,176.3,
1998-01,187.1,
1998-04,192.3,
1998-07,194.7,
1998-10,191.5,
1999-01,196.6,
1999-04,199.4,
1999-07,202.5,
1999-10,206.1,
2000-01,212.6,
2000-04,215.0,
2000-07,217.5,
2000-10,213.7,
2001-01,220.0,
2001-04,222.6,
2001-07,228.4,
2001-10,237.7,
2002-01,248.8,
2002-04,251.4,
2002-07,255.1,
2002-10,248.7,
2003-01,252.3,
2003-04,256.0,
2003-07,258.4,
2003-10,258.3,
2004-01,262.7,
2004-04,263.3,
2004-07,265.7,
2004-10,267.8,
2005-01,273.8,
2005-04,275.4,
2005-07,280.4,
2005-10,285.2,
2006-01,284.0,
2006-04,282.7,
2006-07,281.5,
2006-10,280.7,
2007-01,275.4,
2007-04,270.0,
2007-07,264.7,
2007-10,258.7,
2008-01,258.0,
2008-04,257.1,
2008-07,256.1,
2008-10,254.8,
2009-01,253.4,
2009-04,252.0,
2009-07,250.5,
2009-10,249.0,
2010-01,250.5,
2010-04,251.9,
2010-07,253.2,
2010-10,254.4,
2011-01,257.1,
2011-04,259.7,
2011-07,262.2,
2011-10,264.7,
2012-01,266.4,
2012-04,268.0,
2012-07,269.6,
2012-10,271.2,
2013-01,272.0,
2013-04,273.8,
2013-07,276.1,
2013-10,278.4,
2014-01,285.9,
