"",BBK01.CEWK0B,BBK01.CEWK0B_FLAGS
"",Net acquisition of financial assets Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:35,
1991-01,0.8,
1991-04,0.1,
1991-07,-0.2,
1991-10,0.5,
1992-01,0.4,
1992-04,0.0,
1992-07,-0.1,
1992-10,0.2,
1993-01,0.3,
1993-04,0.2,
1993-07,-0.2,
1993-10,0.6,
1994-01,0.7,
1994-04,0.6,
1994-07,0.6,
1994-10,0.8,
1995-01,0.1,
1995-04,-0.7,
1995-07,-0.7,
1995-10,-0.8,
1996-01,0.2,
1996-04,-0.3,
1996-07,0.1,
1996-10,-0.1,
1997-01,0.5,
1997-04,0.1,
1997-07,0.2,
1997-10,-0.7,
1998-01,0.1,
1998-04,-0.4,
1998-07,-0.6,
1998-10,-2.1,
1999-01,-0.3,
1999-04,-1.2,
1999-07,-1.5,
1999-10,-1.7,
2000-01,-0.5,
2000-04,-1.0,
2000-07,-0.6,
2000-10,-0.7,
2001-01,-0.6,
2001-04,-0.4,
2001-07,-3.0,
2001-10,1.2,
2002-01,2.3,
2002-04,3.5,
2002-07,3.5,
2002-10,1.5,
2003-01,2.9,
2003-04,1.2,
2003-07,1.7,
2003-10,1.4,
2004-01,0.7,
2004-04,1.1,
2004-07,1.3,
2004-10,0.3,
2005-01,-0.2,
2005-04,-1.7,
2005-07,-3.0,
2005-10,-3.6,
2006-01,1.6,
2006-04,-0.3,
2006-07,1.1,
2006-10,-1.2,
2007-01,2.0,
2007-04,0.5,
2007-07,3.0,
2007-10,0.6,
2008-01,3.9,
2008-04,2.1,
2008-07,4.0,
2008-10,3.3,
2009-01,0.4,
2009-04,0.5,
2009-07,2.5,
2009-10,1.1,
2010-01,1.9,
2010-04,0.9,
2010-07,2.6,
2010-10,0.7,
2011-01,3.5,
2011-04,1.7,
2011-07,3.1,
2011-10,1.5,
2012-01,2.8,
2012-04,1.6,
2012-07,2.8,
2012-10,2.7,
2013-01,3.4,
2013-04,2.3,
2013-07,3.2,
2013-10,3.1,
2014-01,6.1,
