"",BBK01.CEH0I0,BBK01.CEH0I0_FLAGS
"",External financing debtor: Households and non-profit institutions serving households                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:00,
1991-01,7.8,
1991-04,13.2,
1991-07,17.6,
1991-10,27.1,
1992-01,10.7,
1992-04,19.4,
1992-07,17.9,
1992-10,24.4,
1993-01,11.0,
1993-04,18.7,
1993-07,21.8,
1993-10,35.0,
1994-01,15.8,
1994-04,21.8,
1994-07,23.8,
1994-10,35.1,
1995-01,5.5,
1995-04,20.3,
1995-07,19.9,
1995-10,30.1,
1996-01,9.0,
1996-04,17.7,
1996-07,19.8,
1996-10,32.4,
1997-01,7.9,
1997-04,19.8,
1997-07,18.5,
1997-10,18.0,
1998-01,4.4,
1998-04,19.0,
1998-07,16.2,
1998-10,35.1,
1999-01,14.4,
1999-04,28.7,
1999-07,17.6,
1999-10,23.0,
2000-01,2.6,
2000-04,18.0,
2000-07,11.5,
2000-10,11.3,
2001-01,-0.2,
2001-04,5.6,
2001-07,10.8,
2001-10,5.2,
2002-01,-3.5,
2002-04,2.4,
2002-07,8.1,
2002-10,8.8,
2003-01,-3.6,
2003-04,7.2,
2003-07,9.1,
2003-10,4.8,
2004-01,-11.0,
2004-04,4.9,
2004-07,8.3,
2004-10,-1.1,
2005-01,-13.3,
2005-04,2.9,
2005-07,3.8,
2005-10,-0.7,
2006-01,-8.1,
2006-04,1.8,
2006-07,5.5,
2006-10,-5.0,
2007-01,-9.5,
2007-04,-1.7,
2007-07,-3.3,
2007-10,-6.4,
2008-01,-9.4,
2008-04,1.2,
2008-07,-1.2,
2008-10,-5.2,
2009-01,-8.1,
2009-04,2.0,
2009-07,3.7,
2009-10,-4.2,
2010-01,-6.4,
2010-04,5.7,
2010-07,5.3,
2010-10,0.7,
2011-01,-3.5,
2011-04,4.9,
2011-07,6.8,
2011-10,4.9,
2012-01,-0.7,
2012-04,6.8,
2012-07,6.2,
2012-10,4.1,
2013-01,-3.5,
2013-04,5.9,
2013-07,8.7,
2013-10,0.8,
2014-01,0.7,
