"",BBK01.SUD264,BBK01.SUD264_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations up to EUR 0.25 million with collateral and/or guarantees, initial rate fixation of over 1 and up to 3 years",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:23,
2010-06,18,
2010-07,29,
2010-08,26,
2010-09,25,
2010-10,27,
2010-11,28,
2010-12,21,
2011-01,28,
2011-02,25,
2011-03,32,
2011-04,31,
2011-05,26,
2011-06,24,
2011-07,30,
2011-08,33,
2011-09,23,
2011-10,23,
2011-11,17,
2011-12,28,
2012-01,26,
2012-02,19,
2012-03,24,
2012-04,24,
2012-05,19,
2012-06,19,
2012-07,25,
2012-08,25,
2012-09,18,
2012-10,22,
2012-11,20,
2012-12,23,
2013-01,25,
2013-02,21,
2013-03,20,
2013-04,30,
2013-05,17,
2013-06,21,
2013-07,26,
2013-08,21,
2013-09,16,
2013-10,23,
2013-11,17,
2013-12,20,
2014-01,31,
2014-02,22,
2014-03,23,
2014-04,18,
2014-05,17,
2014-06,17,
2014-07,14,
2014-08,15,
2014-09,15,
2014-10,19,
2014-11,9,
2014-12,23,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
