"",BBFN1.M.DE.N.1.A.B0.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1982-11,.,Value available later
1982-12,5.930,
1983-01,6.108,
1983-02,5.941,
1983-03,6.040,
1983-04,6.233,
1983-05,6.329,
1983-06,6.578,
1983-07,6.329,
1983-08,6.454,
1983-09,6.382,
1983-10,6.668,
1983-11,6.549,
1983-12,6.212,
1984-01,7.304,
1984-02,7.930,
1984-03,8.741,
1984-04,8.524,
1984-05,8.980,
1984-06,7.659,
1984-07,7.669,
1984-08,8.090,
1984-09,7.984,
1984-10,8.409,
1984-11,8.742,
1984-12,8.826,
1985-01,9.709,
1985-02,10.144,
1985-03,11.107,
1985-04,11.648,
1985-05,11.562,
1985-06,11.902,
1985-07,11.702,
1985-08,11.226,
1985-09,11.129,
1985-10,13.198,
1985-11,12.182,
1985-12,11.842,
1986-01,15.994,
1986-02,16.979,
1986-03,21.556,
1986-04,24.689,
1986-05,25.435,
1986-06,23.915,
1986-07,25.751,
1986-08,25.481,
1986-09,24.945,
1986-10,27.919,
1986-11,27.640,
1986-12,24.789,
1987-01,27.890,
1987-02,28.391,
1987-03,28.594,
1987-04,30.090,
1987-05,29.423,
1987-06,29.129,
1987-07,30.820,
1987-08,30.899,
1987-09,30.104,
1987-10,32.170,
1987-11,30.766,
1987-12,28.380,
1988-01,31.287,
1988-02,31.076,
1988-03,32.954,
1988-04,33.334,
1988-05,34.326,
1988-06,32.834,
1988-07,32.834,
1988-08,32.963,
1988-09,31.679,
1988-10,31.792,
1988-11,30.583,
1988-12,29.193,
1989-01,35.047,
1989-02,36.557,
1989-03,37.174,
1989-04,39.501,
1989-05,41.437,
1989-06,40.873,
1989-07,40.874,
1989-08,41.438,
1989-09,41.580,
1989-10,48.375,
1989-11,49.105,
1989-12,44.257,
1990-01,50.966,
1990-02,51.772,
1990-03,53.835,
1990-04,54.684,
1990-05,54.811,
1990-06,54.241,
1990-07,55.195,
1990-08,55.370,
1990-09,55.306,
1990-10,58.185,
1990-11,58.159,
1990-12,55.417,
1991-01,60.513,
1991-02,61.021,
1991-03,63.669,
1991-04,66.090,
1991-05,65.258,
1991-06,63.426,
1991-07,64.882,
1991-08,62.612,
1991-09,60.374,
1991-10,65.261,
1991-11,64.094,
1991-12,59.605,
1992-01,64.087,
1992-02,64.402,
1992-03,64.323,
1992-04,65.605,
1992-05,65.479,
1992-06,64.805,
1992-07,63.647,
1992-08,61.862,
1992-09,60.626,
1992-10,67.221,
1992-11,66.962,
1992-12,62.497,
1993-01,69.136,
1993-02,71.988,
1993-03,73.073,
1993-04,76.335,
1993-05,75.324,
1993-06,73.956,
1993-07,78.942,
1993-08,75.514,
1993-09,77.513,
1993-10,88.471,
1993-11,89.298,
1993-12,83.911,
1994-01,92.780,
1994-02,88.776,
1994-03,91.921,
1994-04,91.116,
1994-05,90.433,
1994-06,87.829,
1994-07,90.762,
1994-08,91.838,
1994-09,91.947,
1994-10,97.536,
1994-11,99.715,
1994-12,95.067,
1995-01,104.369,
1995-02,103.035,
1995-03,103.747,
1995-04,106.496,
1995-05,107.543,
1995-06,106.354,
1995-07,106.315,
1995-08,102.365,
1995-09,103.395,
1995-10,105.527,
1995-11,103.888,
1995-12,93.521,
1996-01,99.438,
1996-02,100.980,
1996-03,104.977,
1996-04,110.518,
1996-05,112.355,
1996-06,106.640,
1996-07,103.994,
1996-08,102.213,
1996-09,101.835,
1996-10,104.065,
1996-11,107.873,
1996-12,104.905,
1997-01,113.243,
1997-02,117.493,
1997-03,116.015,
1997-04,120.144,
1997-05,120.015,
1997-06,114.765,
1997-07,118.690,
1997-08,112.403,
1997-09,111.381,
1997-10,115.612,
1997-11,110.212,
1997-12,101.631,
1998-01,117.108,
1998-02,120.986,
1998-03,125.308,
1998-04,134.932,
1998-05,136.722,
1998-06,127.986,
1998-07,128.232,
1998-08,122.714,
1998-09,125.394,
1998-10,129.666,
1998-11,124.284,
1998-12,109.836,
1999-01,105.057,
1999-02,109.046,
1999-03,112.671,
1999-04,116.801,
1999-05,118.158,
1999-06,120.839,
1999-07,119.169,
1999-08,118.608,
1999-09,118.502,
1999-10,115.454,
1999-11,116.381,
1999-12,104.442,
2000-01,112.626,
2000-02,117.900,
2000-03,127.049,
2000-04,127.887,
2000-05,127.903,
2000-06,128.841,
2000-07,124.963,
2000-08,140.977,
2000-09,128.795,
2000-10,135.723,
2000-11,127.072,
2000-12,117.861,
2001-01,139.284,
2001-02,150.148,
2001-03,152.636,
2001-04,155.037,
2001-05,144.114,
2001-06,145.643,
2001-07,146.598,
2001-08,143.414,
2001-09,134.034,
2001-10,136.455,
2001-11,134.857,
2001-12,137.244,
2002-01,152.119,
2002-02,153.052,
2002-03,153.829,
2002-04,163.784,
2002-05,167.277,
2002-06,153.966,
2002-07,155.458,
2002-08,156.660,
2002-09,160.324,
2002-10,162.850,
2002-11,154.916,
2002-12,144.761,
2003-01,162.502,
2003-02,168.205,
2003-03,175.834,
2003-04,188.337,
2003-05,191.295,
2003-06,185.555,
2003-07,194.077,
2003-08,184.456,
2003-09,185.398,
2003-10,188.223,
2003-11,182.790,
2003-12,175.522,
2004-01,194.836,
2004-02,192.723,
2004-03,197.437,
2004-04,194.767,
2004-05,194.800,
2004-06,197.039,
2004-07,200.798,
2004-08,202.826,
2004-09,205.636,
2004-10,205.930,
2004-11,198.188,
2004-12,194.121,
2005-01,201.069,
2005-02,204.931,
2005-03,213.212,
2005-04,209.376,
2005-05,206.403,
2005-06,202.523,
2005-07,206.850,
2005-08,208.133,
2005-09,214.326,
2005-10,216.074,
2005-11,210.370,
2005-12,200.405,
2006-01,207.600,
2006-02,219.331,
2006-03,223.874,
2006-04,229.681,
2006-05,227.060,
2006-06,225.287,
2006-07,220.612,
2006-08,229.685,
2006-09,235.828,
2006-10,238.073,
2006-11,238.810,
2006-12,230.911,
2007-01,246.035,
2007-02,254.583,
2007-03,262.349,
2007-04,265.683,
2007-05,266.649,
2007-06,271.703,
2007-07,276.085,
2007-08,280.392,
2007-09,281.764,
2007-10,299.565,
2007-11,299.581,
2007-12,281.724,
2008-01,304.975,
2008-02,306.655,
2008-03,315.782,
2008-04,318.461,
2008-05,315.586,
2008-06,310.931,
2008-07,318.070,
2008-08,316.578,
2008-09,323.953,
2008-10,322.719,
2008-11,322.014,
2008-12,316.153,
2009-01,320.891,
2009-02,320.022,
2009-03,342.392,
2009-04,344.123,
2009-05,340.864,
2009-06,340.532,
2009-07,339.684,
2009-08,344.354,
2009-09,347.917,
2009-10,358.837,
2009-11,360.335,
2009-12,366.386,
2010-01,363.634,
2010-02,373.787,
2010-03,379.261,
2010-04,392.187,
2010-05,393.932,
2010-06,394.254,
2010-07,406.172,
2010-08,416.624,
2010-09,418.329,
2010-10,426.662,
2010-11,431.761,
2010-12,415.608,
2011-01,438.218,
2011-02,432.441,
2011-03,432.559,
2011-04,432.540,
2011-05,451.993,
2011-06,441.883,
2011-07,455.731,
2011-08,469.720,
2011-09,470.687,
2011-10,463.692,
2011-11,455.302,
2011-12,421.715,
2012-01,451.288,
2012-02,449.410,
2012-03,454.126,
2012-04,447.442,
2012-05,458.087,
2012-06,467.671,
2012-07,466.677,
2012-08,455.514,
2012-09,468.377,
2012-10,458.325,
2012-11,467.008,
2012-12,456.960,
2013-01,479.548,
2013-02,483.195,
2013-03,492.152,
2013-04,492.265,
2013-05,493.947,
2013-06,507.524,
2013-07,491.708,
2013-08,489.383,
2013-09,496.732,
2013-10,499.646,
2013-11,502.256,
2013-12,495.576,
2014-01,501.754,
2014-02,505.721,
2014-03,528.149,
2014-04,522.649,
2014-05,542.427,
2014-06,532.393,
2014-07,526.292,
2014-08,538.594,
2014-09,541.307,
2014-10,531.021,
2014-11,530.040,
2014-12,510.943,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
