"",BBAI3.Q.DE.N.V.LE.F51M.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:40,
2005-10,41494,
2006-01,40242,
2006-04,37737,
2006-07,42605,
2006-10,44766,
2007-01,46557,
2007-04,52289,
2007-07,54526,
2007-10,52860,
2008-01,46815,
2008-04,43480,
2008-07,39307,
2008-10,36478,
2009-01,29177,
2009-04,29365,
2009-07,35780,
2009-10,36387,
2010-01,38162,
2010-04,33338,
2010-07,32429,
2010-10,34621,
2011-01,37061,
2011-04,35047,
2011-07,27587,
2011-10,28445,
2012-01,33998,
2012-04,31174,
2012-07,35818,
2012-10,40339,
2013-01,43425,
2013-04,44390,
2013-07,45688,
2013-10,50733,
2014-01,48564,
2014-04,48882,
2014-07,49775,
