"",BBAI3.Q.DE.N.V.BF90.F.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:06,
2005-10,55072,
2006-01,62493,
2006-04,67095,
2006-07,56040,
2006-10,48590,
2007-01,41717,
2007-04,31071,
2007-07,38615,
2007-10,55630,
2008-01,43297,
2008-04,45962,
2008-07,47316,
2008-10,67150,
2009-01,79470,
2009-04,77815,
2009-07,69789,
2009-10,67499,
2010-01,66390,
2010-04,84020,
2010-07,93528,
2010-10,74385,
2011-01,59317,
2011-04,66047,
2011-07,95781,
2011-10,98306,
2012-01,88418,
2012-04,101386,
2012-07,105641,
2012-10,97425,
2013-01,88599,
2013-04,73700,
2013-07,71392,
2013-10,51844,
2014-01,79786,
2014-04,104806,
2014-07,119596,
