"",BBSF2.M.1.T.00000.GEL01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,728,
1994-10,1977,
1994-11,4219,
1994-12,15990,
1995-01,15155,
1995-02,14013,
1995-03,13202,
1995-04,13403,
1995-05,13771,
1995-06,14161,
1995-07,14445,
1995-08,14661,
1995-09,14717,
1995-10,15295,
1995-11,16223,
1995-12,20000,
1996-01,19733,
1996-02,20504,
1996-03,20342,
1996-04,20280,
1996-05,19995,
1996-06,19407,
1996-07,18747,
1996-08,18372,
1996-09,18097,
1996-10,18187,
1996-11,17662,
1996-12,17402,
1997-01,16738,
1997-02,16708,
1997-03,16285,
1997-04,16094,
1997-05,15836,
1997-06,15375,
1997-07,15742,
1997-08,16131,
1997-09,16054,
1997-10,15471,
1997-11,15175,
1997-12,15111,
1998-01,15357,
1998-02,16620,
1998-03,16982,
1998-04,17045,
1998-05,17088,
1998-06,17218,
1998-07,17412,
1998-08,18102,
1998-09,18034,
1998-10,18511,
1998-11,18498,
1998-12,18339,
1999-01,19753,
1999-02,20415,
1999-03,20433,
1999-04,21131,
1999-05,22025,
1999-06,22561,
1999-07,23201,
1999-08,23825,
1999-09,24380,
1999-10,24315,
1999-11,23202,
1999-12,21954,
2000-01,23737,
2000-02,24757,
2000-03,24843,
2000-04,24213,
2000-05,23746,
2000-06,22840,
2000-07,22256,
2000-08,22236,
2000-09,21376,
2000-10,21026,
2000-11,20842,
2000-12,20289,
2001-01,21537,
2001-02,22542,
2001-03,23702,
2001-04,24370,
2001-05,24396,
2001-06,25275,
2001-07,26023,
2001-08,27596,
2001-09,29151,
2001-10,30780,
2001-11,31929,
2001-12,33771,
2002-01,35782,
2002-02,36665,
2002-03,36535,
2002-04,36687,
2002-05,36751,
2002-06,36334,
2002-07,36834,
2002-08,38219,
2002-09,38846,
2002-10,39513,
2002-11,39352,
2002-12,38703,
2003-01,40572,
2003-02,41679,
2003-03,42150,
2003-04,41557,
2003-05,41485,
2003-06,40704,
2003-07,40232,
2003-08,40113,
2003-09,40116,
2003-10,39347,
2003-11,38893,
2003-12,38420,
2004-01,38062,
2004-02,37919,
2004-03,37366,
2004-04,37341,
2004-05,37665,
2004-06,37525,
2004-07,41421,
2004-08,42638,
2004-09,40135,
2004-10,38906,
2004-11,37039,
2004-12,32873,
2005-01,32640,
2005-02,32918,
2005-03,35266,
2005-04,35703,
2005-05,35172,
2005-06,35402,
2005-07,36930,
2005-08,37062,
2005-09,36833,
2005-10,33942,
2005-11,32961,
2005-12,32808,
2006-01,32235,
2006-02,32775,
2006-03,32627,
2006-04,32552,
2006-05,33144,
2006-06,34068,
2006-07,33510,
2006-08,33272,
2006-09,32562,
2006-10,33074,
2006-11,33055,
2006-12,33073,
2007-01,33021,
2007-02,32726,
2007-03,33789,
2007-04,34686,
2007-05,35029,
2007-06,36523,
2007-07,36136,
2007-08,33385,
2007-09,31384,
2007-10,30285,
2007-11,30164,
2007-12,29655,
2008-01,29848,
2008-02,30001,
2008-03,28205,
2008-04,26410,
2008-05,25597,
2008-06,24729,
2008-07,24395,
2008-08,24122,
2008-09,23297,
2008-10,19330,
2008-11,18169,
2008-12,17039,
2009-01,16557,
2009-02,16010,
2009-03,15414,
2009-04,14997,
2009-05,14665,
2009-06,14202,
2009-07,13037,
2009-08,12765,
2009-09,12972,
2009-10,12821,
2009-11,12580,
2009-12,11951,
2010-01,12696,
2010-02,12569,
2010-03,12115,
2010-04,11807,
2010-05,11782,
2010-06,11476,
2010-07,11235,
2010-08,10784,
2010-09,10626,
2010-10,10254,
2010-11,10217,
2010-12,10274,
2011-01,10310,
2011-02,10252,
2011-03,10463,
2011-04,10171,
2011-05,9929,
2011-06,9822,
2011-07,7210,
2011-08,7591,
2011-09,7643,
2011-10,7598,
2011-11,6707,
2011-12,6577,
2012-01,6270,
2012-02,6108,
2012-03,5873,
2012-04,5863,
2012-05,5874,
2012-06,6050,
2012-07,6098,
2012-08,5649,
2012-09,5442,
2012-10,5836,
2012-11,5788,
2012-12,7703,
2013-01,7755,
2013-02,7227,
2013-03,7151,
2013-04,7829,
2013-05,7694,
2013-06,6119,
2013-07,6098,
2013-08,6124,
2013-09,5653,
2013-10,5122,
2013-11,5040,
2013-12,4510,
2014-01,4652,
2014-02,4588,
2014-03,4363,
2014-04,4373,
2014-05,4301,
2014-06,4221,
2014-07,4208,
2014-08,3965,
2014-09,3983,
2014-10,3913,
2014-11,3883,
