"",BBK01.CEFFK0,BBK01.CEFFK0_FLAGS
"",long-term loans  debtor: Insurance corporations               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:34,
1999-01,14.4,
1999-04,14.7,
1999-07,14.9,
1999-10,16.7,
2000-01,15.4,
2000-04,16.2,
2000-07,16.2,
2000-10,18.3,
2001-01,18.6,
2001-04,18.6,
2001-07,19.7,
2001-10,23.1,
2002-01,23.7,
2002-04,23.9,
2002-07,23.6,
2002-10,27.1,
2003-01,27.1,
2003-04,30.4,
2003-07,30.1,
2003-10,32.6,
2004-01,32.9,
2004-04,32.5,
2004-07,32.5,
2004-10,32.6,
2005-01,32.9,
2005-04,32.6,
2005-07,33.2,
2005-10,30.7,
2006-01,33.0,
2006-04,33.6,
2006-07,35.7,
2006-10,37.1,
2007-01,36.7,
2007-04,37.2,
2007-07,39.3,
2007-10,34.5,
2008-01,34.9,
2008-04,35.5,
2008-07,34.4,
2008-10,31.4,
2009-01,31.0,
2009-04,30.6,
2009-07,30.0,
2009-10,29.9,
2010-01,30.5,
2010-04,30.3,
2010-07,31.2,
2010-10,24.6,
2011-01,23.9,
2011-04,23.9,
2011-07,24.3,
2011-10,25.0,
2012-01,25.2,
2012-04,25.4,
2012-07,25.3,
2012-10,26.1,
2013-01,26.3,
2013-04,25.7,
2013-07,26.0,
2013-10,28.6,
2014-01,28.3,
2014-04,28.2,
2014-07,28.3,
