"",BBAI3.Q.DE.N.V.LE.F51.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:26,
2005-10,48215,
2006-01,47324,
2006-04,42350,
2006-07,48817,
2006-10,51632,
2007-01,55446,
2007-04,58592,
2007-07,55371,
2007-10,51902,
2008-01,47495,
2008-04,43147,
2008-07,38377,
2008-10,31687,
2009-01,26126,
2009-04,25584,
2009-07,30569,
2009-10,30843,
2010-01,34881,
2010-04,30794,
2010-07,30300,
2010-10,32931,
2011-01,35967,
2011-04,33517,
2011-07,26076,
2011-10,26721,
2012-01,32725,
2012-04,29524,
2012-07,33460,
2012-10,37459,
2013-01,41228,
2013-04,41412,
2013-07,42210,
2013-10,47106,
2014-01,47194,
2014-04,44656,
2014-07,45498,
