"",BBAI3.Q.DE.N.V.LE.F7.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:46,
2005-10,7823,
2006-01,7968,
2006-04,8089,
2006-07,8204,
2006-10,8385,
2007-01,8369,
2007-04,8184,
2007-07,8135,
2007-10,8137,
2008-01,8144,
2008-04,8074,
2008-07,8177,
2008-10,8149,
2009-01,8110,
2009-04,8113,
2009-07,8082,
2009-10,7979,
2010-01,7938,
2010-04,7768,
2010-07,7675,
2010-10,7591,
2011-01,7531,
2011-04,7425,
2011-07,7379,
2011-10,10159,
2012-01,7206,
2012-04,7414,
2012-07,7677,
2012-10,7630,
2013-01,7850,
2013-04,7646,
2013-07,7930,
2013-10,8243,
2014-01,8733,
2014-04,8618,
2014-07,8558,
