"",BBAI3.Q.DE.N.V.LE.F.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:15,
2005-10,1039324,
2006-01,1058805,
2006-04,1058486,
2006-07,1079853,
2006-10,1091349,
2007-01,1111966,
2007-04,1120538,
2007-07,1127787,
2007-10,1138503,
2008-01,1122543,
2008-04,1115460,
2008-07,1107697,
2008-10,1096148,
2009-01,1108142,
2009-04,1125920,
2009-07,1149683,
2009-10,1155304,
2010-01,1190442,
2010-04,1199298,
2010-07,1209728,
2010-10,1202562,
2011-01,1216924,
2011-04,1223419,
2011-07,1225156,
2011-10,1223045,
2012-01,1257285,
2012-04,1269242,
2012-07,1299221,
2012-10,1316417,
2013-01,1344747,
2013-04,1343471,
2013-07,1353140,
2013-10,1364022,
2014-01,1409050,
2014-04,1437865,
2014-07,1461759,
