"",BBNZ1.Q.DE.N.G.0018.L,BBNZ1.Q.DE.N.G.0018.L_FLAGS
"","Germany / National accounts / Overall economy / Labour costs per employee 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:48,
1970-01,19.19,
1970-04,21.39,
1970-07,21.41,
1970-10,23.70,
1971-01,21.87,
1971-04,23.62,
1971-07,23.96,
1971-10,26.16,
1972-01,24.01,
1972-04,25.75,
1972-07,25.98,
1972-10,28.98,
1973-01,26.75,
1973-04,28.66,
1973-07,28.98,
1973-10,32.66,
1974-01,29.13,
1974-04,32.00,
1974-07,32.47,
1974-10,36.64,
1975-01,31.58,
1975-04,34.20,
1975-07,34.46,
1975-10,39.01,
1976-01,33.80,
1976-04,36.88,
1976-07,37.21,
1976-10,42.12,
1977-01,36.14,
1977-04,39.36,
1977-07,39.51,
1977-10,44.68,
1978-01,37.95,
1978-04,41.32,
1978-07,41.84,
1978-10,47.06,
1979-01,40.16,
1979-04,43.39,
1979-07,44.19,
1979-10,49.86,
1980-01,42.70,
1980-04,46.33,
1980-07,47.31,
1980-10,53.09,
1981-01,44.41,
1981-04,48.42,
1981-07,49.66,
1981-10,55.70,
1982-01,46.90,
1982-04,49.99,
1982-07,51.34,
1982-10,57.65,
1983-01,48.32,
1983-04,51.21,
1983-07,53.11,
1983-10,59.64,
1984-01,50.93,
1984-04,51.77,
1984-07,54.02,
1984-10,61.70,
1985-01,51.10,
1985-04,53.95,
1985-07,55.52,
1985-10,63.03,
1986-01,52.51,
1986-04,55.86,
1986-07,57.44,
1986-10,64.90,
1987-01,53.60,
1987-04,57.63,
1987-07,59.00,
1987-10,67.02,
1988-01,55.64,
1988-04,58.75,
1988-07,60.42,
1988-10,68.56,
1989-01,57.36,
1989-04,60.13,
1989-07,61.89,
1989-10,70.23,
1990-01,59.58,
1990-04,63.17,
1990-07,64.48,
1990-10,73.82,
1991-01,61.22,
1991-04,66.64,
1991-07,69.01,
1991-10,79.62,
1992-01,68.53,
1992-04,72.65,
1992-07,76.88,
1992-10,86.83,
1993-01,72.44,
1993-04,76.41,
1993-07,78.76,
1993-10,89.75,
1994-01,75.83,
1994-04,78.21,
1994-07,80.52,
1994-10,91.87,
1995-01,77.91,
1995-04,81.36,
1995-07,83.71,
1995-10,94.76,
1996-01,79.67,
1996-04,81.91,
1996-07,84.48,
1996-10,95.27,
1997-01,80.60,
1997-04,82.87,
1997-07,84.57,
1997-10,95.56,
1998-01,81.05,
1998-04,83.75,
1998-07,85.64,
1998-10,96.20,
1999-01,81.67,
1999-04,85.31,
1999-07,86.63,
1999-10,96.93,
2000-01,82.98,
2000-04,85.85,
2000-07,87.97,
2000-10,98.61,
2001-01,84.92,
2001-04,87.60,
2001-07,89.35,
2001-10,100.31,
2002-01,85.94,
2002-04,88.52,
2002-07,90.85,
2002-10,101.52,
2003-01,87.60,
2003-04,90.22,
2003-07,92.30,
2003-10,102.27,
2004-01,88.49,
2004-04,90.63,
2004-07,91.95,
2004-10,102.00,
2005-01,88.83,
2005-04,91.19,
2005-07,92.05,
2005-10,101.88,
2006-01,89.36,
2006-04,91.94,
2006-07,93.30,
2006-10,103.04,
2007-01,90.09,
2007-04,92.96,
2007-07,93.82,
2007-10,104.10,
2008-01,91.80,
2008-04,95.08,
2008-07,95.80,
2008-10,106.36,
2009-01,92.56,
2009-04,95.07,
2009-07,96.03,
2009-10,106.29,
2010-01,94.49,
2010-04,97.60,
2010-07,98.51,
2010-10,109.21,
2011-01,97.30,
2011-04,100.95,
2011-07,101.18,
2011-10,111.93,
2012-01,99.49,
2012-04,103.70,
2012-07,103.78,
2012-10,114.78,
2013-01,101.40,
2013-04,105.42,
2013-07,105.75,
2013-10,117.09,
2014-01,104.26,
2014-04,108.08,
2014-07,108.38,
2014-10,119.85,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average 1991 (Bundesbank calculation). - 3 Methodology: Domestic concept. As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
