"",BBFN1.M.DE.N.1.L.US.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1980-11,.,No value available
1980-12,0.256,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.389,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,0.403,
1982-10,0.367,
1982-11,0.376,
1982-12,0.391,
1983-01,0.401,
1983-02,0.398,
1983-03,0.400,
1983-04,0.397,
1983-05,0.398,
1983-06,0.393,
1983-07,0.390,
1983-08,0.386,
1983-09,0.387,
1983-10,0.382,
1983-11,0.379,
1983-12,0.394,
1984-01,0.398,
1984-02,0.371,
1984-03,0.364,
1984-04,0.362,
1984-05,0.361,
1984-06,0.361,
1984-07,0.364,
1984-08,0.353,
1984-09,0.362,
1984-10,0.364,
1984-11,0.359,
1984-12,0.354,
1985-01,0.340,
1985-02,0.337,
1985-03,0.359,
1985-04,0.354,
1985-05,0.357,
1985-06,0.367,
1985-07,0.354,
1985-08,0.358,
1985-09,0.342,
1985-10,0.335,
1985-11,0.333,
1985-12,0.332,
1986-01,0.322,
1986-02,0.334,
1986-03,0.340,
1986-04,0.343,
1986-05,0.349,
1986-06,0.345,
1986-07,0.336,
1986-08,0.330,
1986-09,0.328,
1986-10,0.325,
1986-11,0.323,
1986-12,0.318,
1987-01,0.277,
1987-02,0.271,
1987-03,0.260,
1987-04,0.261,
1987-05,0.250,
1987-06,0.257,
1987-07,0.240,
1987-08,0.244,
1987-09,0.236,
1987-10,0.233,
1987-11,0.231,
1987-12,0.239,
1988-01,0.248,
1988-02,0.248,
1988-03,0.257,
1988-04,0.240,
1988-05,0.241,
1988-06,0.663,
1988-07,0.680,
1988-08,0.680,
1988-09,0.680,
1988-10,0.673,
1988-11,0.670,
1988-12,0.668,
1989-01,0.672,
1989-02,0.674,
1989-03,0.672,
1989-04,0.674,
1989-05,0.681,
1989-06,0.676,
1989-07,0.727,
1989-08,0.721,
1989-09,0.717,
1989-10,0.707,
1989-11,0.706,
1989-12,0.726,
1990-01,0.728,
1990-02,0.730,
1990-03,0.728,
1990-04,0.705,
1990-05,0.701,
1990-06,0.702,
1990-07,0.694,
1990-08,0.698,
1990-09,0.694,
1990-10,0.693,
1990-11,0.692,
1990-12,0.692,
1991-01,0.673,
1991-02,0.677,
1991-03,0.696,
1991-04,0.705,
1991-05,0.729,
1991-06,0.721,
1991-07,0.715,
1991-08,0.720,
1991-09,0.711,
1991-10,0.700,
1991-11,0.699,
1991-12,0.704,
1992-01,0.706,
1992-02,0.691,
1992-03,0.688,
1992-04,0.690,
1992-05,0.452,
1992-06,0.446,
1992-07,0.444,
1992-08,0.436,
1992-09,0.444,
1992-10,0.443,
1992-11,0.446,
1992-12,0.461,
1993-01,0.473,
1993-02,0.451,
1993-03,0.454,
1993-04,0.485,
1993-05,0.485,
1993-06,0.473,
1993-07,0.480,
1993-08,0.459,
1993-09,0.444,
1993-10,0.395,
1993-11,0.394,
1993-12,0.528,
1994-01,0.525,
1994-02,0.489,
1994-03,0.590,
1994-04,0.585,
1994-05,0.587,
1994-06,0.625,
1994-07,0.610,
1994-08,0.563,
1994-09,0.504,
1994-10,0.511,
1994-11,0.516,
1994-12,0.508,
1995-01,0.504,
1995-02,0.377,
1995-03,0.439,
1995-04,0.415,
1995-05,0.414,
1995-06,0.401,
1995-07,0.314,
1995-08,0.314,
1995-09,0.537,
1995-10,0.600,
1995-11,0.826,
1995-12,0.835,
1996-01,0.831,
1996-02,0.830,
1996-03,0.834,
1996-04,0.840,
1996-05,0.840,
1996-06,0.844,
1996-07,0.843,
1996-08,0.847,
1996-09,0.836,
1996-10,0.832,
1996-11,0.827,
1996-12,0.797,
1997-01,0.801,
1997-02,0.801,
1997-03,0.800,
1997-04,0.806,
1997-05,0.809,
1997-06,0.825,
1997-07,0.843,
1997-08,0.841,
1997-09,0.845,
1997-10,0.812,
1997-11,0.811,
1997-12,0.966,
1998-01,1.001,
1998-02,1.045,
1998-03,1.074,
1998-04,1.103,
1998-05,1.106,
1998-06,1.108,
1998-07,1.103,
1998-08,0.967,
1998-09,1.118,
1998-10,0.945,
1998-11,0.913,
1998-12,0.917,
1999-01,0.951,
1999-02,0.946,
1999-03,0.952,
1999-04,1.176,
1999-05,1.282,
1999-06,1.328,
1999-07,1.379,
1999-08,1.294,
1999-09,1.286,
1999-10,1.288,
1999-11,1.296,
1999-12,1.254,
2000-01,1.189,
2000-02,1.204,
2000-03,1.292,
2000-04,1.274,
2000-05,1.282,
2000-06,0.963,
2000-07,0.973,
2000-08,0.994,
2000-09,0.992,
2000-10,0.995,
2000-11,1.053,
2000-12,1.025,
2001-01,1.003,
2001-02,0.932,
2001-03,0.841,
2001-04,0.940,
2001-05,0.944,
2001-06,0.939,
2001-07,1.061,
2001-08,1.048,
2001-09,1.024,
2001-10,1.021,
2001-11,0.995,
2001-12,1.011,
2002-01,1.044,
2002-02,1.051,
2002-03,1.034,
2002-04,1.059,
2002-05,1.033,
2002-06,0.889,
2002-07,0.898,
2002-08,0.882,
2002-09,0.855,
2002-10,0.856,
2002-11,0.852,
2002-12,1.006,
2003-01,0.988,
2003-02,0.959,
2003-03,0.911,
2003-04,0.676,
2003-05,0.693,
2003-06,0.749,
2003-07,0.689,
2003-08,0.640,
2003-09,0.613,
2003-10,0.756,
2003-11,0.742,
2003-12,0.706,
2004-01,0.765,
2004-02,0.849,
2004-03,0.903,
2004-04,1.309,
2004-05,1.292,
2004-06,1.242,
2004-07,1.255,
2004-08,1.255,
2004-09,1.047,
2004-10,0.955,
2004-11,0.706,
2004-12,0.688,
2005-01,0.729,
2005-02,0.735,
2005-03,0.769,
2005-04,0.772,
2005-05,0.807,
2005-06,0.830,
2005-07,0.825,
2005-08,0.829,
2005-09,0.838,
2005-10,0.920,
2005-11,0.960,
2005-12,0.936,
2006-01,1.740,
2006-02,1.773,
2006-03,1.796,
2006-04,1.770,
2006-05,1.744,
2006-06,1.737,
2006-07,1.818,
2006-08,1.798,
2006-09,1.799,
2006-10,1.765,
2006-11,1.915,
2006-12,1.182,
2007-01,1.147,
2007-02,1.191,
2007-03,1.989,
2007-04,1.978,
2007-05,1.972,
2007-06,2.072,
2007-07,2.169,
2007-08,1.761,
2007-09,1.856,
2007-10,1.866,
2007-11,1.696,
2007-12,1.704,
2008-01,1.746,
2008-02,2.650,
2008-03,2.459,
2008-04,2.687,
2008-05,2.668,
2008-06,2.629,
2008-07,2.589,
2008-08,2.680,
2008-09,2.415,
2008-10,2.302,
2008-11,2.347,
2008-12,2.292,
2009-01,2.804,
2009-02,2.703,
2009-03,1.584,
2009-04,2.005,
2009-05,2.034,
2009-06,2.026,
2009-07,2.212,
2009-08,2.319,
2009-09,2.318,
2009-10,2.393,
2009-11,2.212,
2009-12,2.381,
2010-01,2.299,
2010-02,2.188,
2010-03,2.346,
2010-04,2.423,
2010-05,2.532,
2010-06,2.171,
2010-07,2.150,
2010-08,2.189,
2010-09,2.020,
2010-10,1.966,
2010-11,1.984,
2010-12,1.981,
2011-01,1.904,
2011-02,1.876,
2011-03,1.879,
2011-04,2.115,
2011-05,2.619,
2011-06,2.476,
2011-07,2.418,
2011-08,2.268,
2011-09,2.398,
2011-10,2.508,
2011-11,2.494,
2011-12,2.358,
2012-01,2.352,
2012-02,2.203,
2012-03,2.328,
2012-04,2.901,
2012-05,3.372,
2012-06,3.293,
2012-07,3.052,
2012-08,3.163,
2012-09,3.122,
2012-10,3.145,
2012-11,3.518,
2012-12,2.833,
2013-01,2.921,
2013-02,4.039,
2013-03,3.864,
2013-04,4.332,
2013-05,4.037,
2013-06,3.952,
2013-07,3.925,
2013-08,2.732,
2013-09,3.834,
2013-10,3.768,
2013-11,4.017,
2013-12,3.866,
2014-01,4.135,
2014-02,4.083,
2014-03,4.613,
2014-04,4.571,
2014-05,4.280,
2014-06,4.141,
2014-07,4.159,
2014-08,4.249,
2014-09,4.537,
2014-10,4.039,
2014-11,4.282,
2014-12,4.346,
