"",BBAI3.Q.DE.N.V.LE.F52M.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:29,
2005-10,241,
2006-01,263,
2006-04,201,
2006-07,183,
2006-10,218,
2007-01,175,
2007-04,330,
2007-07,1257,
2007-10,1396,
2008-01,1417,
2008-04,1453,
2008-07,1538,
2008-10,1089,
2009-01,733,
2009-04,729,
2009-07,660,
2009-10,741,
2010-01,1125,
2010-04,581,
2010-07,558,
2010-10,475,
2011-01,529,
2011-04,491,
2011-07,628,
2011-10,582,
2012-01,455,
2012-04,469,
2012-07,375,
2012-10,2358,
2013-01,1981,
2013-04,395,
2013-07,616,
2013-10,615,
2014-01,733,
2014-04,746,
2014-07,751,
