"",BBSF2.M.1.S.I1252.AKT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.AKT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:18,
2009-09,-170,
2009-10,-338,
2009-11,-196,
2009-12,-9,
2010-01,82,
2010-02,-42,
2010-03,223,
2010-04,531,
2010-05,-184,
2010-06,60,
2010-07,71,
2010-08,-28,
2010-09,21,
2010-10,-55,
2010-11,106,
2010-12,-365,
2011-01,83,
2011-02,289,
2011-03,79,
2011-04,183,
2011-05,346,
2011-06,49,
2011-07,165,
2011-08,61,
2011-09,-486,
2011-10,12,
2011-11,-52,
2011-12,-23,
2012-01,-382,
2012-02,-196,
2012-03,118,
2012-04,2,
2012-05,750,
2012-06,61,
2012-07,-548,
2012-08,-313,
2012-09,9,
2012-10,171,
2012-11,398,
2012-12,-153,
2013-01,405,
2013-02,81,
2013-03,532,
2013-04,326,
2013-05,368,
2013-06,108,
2013-07,109,
2013-08,176,
2013-09,482,
2013-10,542,
2013-11,768,
2013-12,574,
2014-01,37,
2014-02,48,
2014-03,-101,
2014-04,434,
2014-05,102,
2014-06,12,
2014-07,685,
2014-08,170,
2014-09,111,
2014-10,153,
2014-11,957,
