"",BBAI3.Q.DE.N.V.LE.F332A.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:51,
2005-10,262,
2006-01,234,
2006-04,301,
2006-07,230,
2006-10,280,
2007-01,268,
2007-04,230,
2007-07,180,
2007-10,3780,
2008-01,3383,
2008-04,3901,
2008-07,2139,
2008-10,2207,
2009-01,2939,
2009-04,3778,
2009-07,4658,
2009-10,4551,
2010-01,4803,
2010-04,4632,
2010-07,5034,
2010-10,5204,
2011-01,2620,
2011-04,2560,
2011-07,1865,
2011-10,1823,
2012-01,2162,
2012-04,2019,
2012-07,2364,
2012-10,2969,
2013-01,3037,
2013-04,2812,
2013-07,2607,
2013-10,4354,
2014-01,4558,
2014-04,0,
2014-07,0,
