"",BBK01.BQ2923,BBK01.BQ2923_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - current grants (expenditure)",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:05,
1991-01,41116,
1991-04,38245,
1991-07,34400,
1991-10,40298,
1992-01,37456,
1992-04,38830,
1992-07,39328,
1992-10,43907,
1993-01,42662,
1993-04,44428,
1993-07,42995,
1993-10,46877,
1994-01,46455,
1994-04,45219,
1994-07,44975,
1994-10,50234,
1995-01,46479,
1995-04,46367,
1995-07,46680,
1995-10,49512,
1996-01,46936,
1996-04,47365,
1996-07,44563,
1996-10,47679,
1997-01,47534,
1997-04,45990,
1997-07,45192,
1997-10,43773,
1998-01,50931,
1998-04,47189,
1998-07,46622,
1998-10,47134,
1999-01,51224,
1999-04,47905,
1999-07,53723,
1999-10,50524,
2000-01,52902,
2000-04,50279,
2000-07,50148,
2000-10,52875,
2001-01,55499,
2001-04,53985,
2001-07,52220,
2001-10,52391,
2002-01,57880,
2002-04,58461,
2002-07,54700,
2002-10,55215,
2003-01,61805,
2003-04,61327,
2003-07,58531,
2003-10,55207,Provisional value
2004-01,63014,Provisional value
2004-04,59362,Provisional value
2004-07,57466,Provisional value
2004-10,56133,Provisional value
2005-01,66285,Provisional value
2005-04,62838,Provisional value
2005-07,59268,Provisional value
2005-10,55403,Provisional value
2006-01,65586,Provisional value
2006-04,59858,Provisional value
2006-07,61196,Provisional value
2006-10,64274,Provisional value
2007-01,64878,Provisional value
2007-04,58422,Provisional value
2007-07,59784,Provisional value
2007-10,65084,Provisional value
2008-01,65515,Provisional value
2008-04,61420,Provisional value
2008-07,62585,Provisional value
2008-10,68637,Provisional value
2009-01,67176,Provisional value
2009-04,60621,Provisional value
2009-07,64984,Provisional value
2009-10,76598,Provisional value
2010-01,74786,Provisional value
2010-04,71188,Provisional value
2010-07,69829,Provisional value
2010-10,76437,Provisional value
2011-01,73755,Provisional value
2011-04,68008,Provisional value
2011-07,67199,Provisional value
2011-10,72594,Provisional value
2012-01,75553,Provisional value
2012-04,68022,Provisional value
2012-07,66594,Provisional value
2012-10,73417,Provisional value
2013-01,74809,Provisional value
2013-04,68627,Provisional value
2013-07,70766,Provisional value
2013-10,70897,Provisional value
2014-01,77692,Provisional value
2014-04,71802,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
