"",BBK01.CEFFKK,BBK01.CEFFKK_FLAGS
"",long-term loans  debtor: Insurance corporations                                                creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:36,
1999-01,11.6,
1999-04,11.7,
1999-07,11.7,
1999-10,13.6,
2000-01,13.4,
2000-04,13.9,
2000-07,13.9,
2000-10,16.0,
2001-01,16.1,
2001-04,16.1,
2001-07,17.5,
2001-10,20.7,
2002-01,21.1,
2002-04,21.2,
2002-07,20.6,
2002-10,23.8,
2003-01,23.8,
2003-04,23.8,
2003-07,23.6,
2003-10,26.6,
2004-01,26.7,
2004-04,26.8,
2004-07,26.8,
2004-10,24.0,
2005-01,24.1,
2005-04,23.6,
2005-07,23.2,
2005-10,19.9,
2006-01,21.7,
2006-04,22.0,
2006-07,23.2,
2006-10,23.6,
2007-01,24.6,
2007-04,25.5,
2007-07,27.7,
2007-10,26.4,
2008-01,26.4,
2008-04,26.7,
2008-07,25.4,
2008-10,22.9,
2009-01,22.2,
2009-04,21.8,
2009-07,21.3,
2009-10,20.7,
2010-01,21.3,
2010-04,20.9,
2010-07,21.1,
2010-10,18.5,
2011-01,18.7,
2011-04,18.7,
2011-07,18.9,
2011-10,20.0,
2012-01,20.5,
2012-04,20.6,
2012-07,20.5,
2012-10,20.9,
2013-01,20.5,
2013-04,20.3,
2013-07,20.6,
2013-10,23.3,
2014-01,23.5,
2014-04,23.4,
2014-07,23.4,
