"",BBQFS.M.DE.BANK.CBC.U20102.0000,BBQFS.M.DE.BANK.CBC.U20102.0000_FLAGS
"",Cross-border claims of German banks on euro-area countries particularly affected by the crisis (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:35,
2002-03,300.76,
2002-04,273.72,
2002-05,282.37,
2002-06,263.45,
2002-07,264.86,
2002-08,260.69,
2002-09,264.37,
2002-10,264.29,
2002-11,266.81,
2002-12,267.49,
2003-01,270.01,
2003-02,275.42,
2003-03,268.52,
2003-04,267.09,
2003-05,264.10,
2003-06,269.74,
2003-07,273.87,
2003-08,271.13,
2003-09,277.94,
2003-10,273.07,
2003-11,276.42,
2003-12,279.01,
2004-01,292.78,
2004-02,292.30,
2004-03,298.47,
2004-04,304.08,
2004-05,312.58,
2004-06,317.74,
2004-07,321.70,
2004-08,326.28,
2004-09,323.49,
2004-10,335.90,
2004-11,335.41,
2004-12,344.69,
2005-01,348.39,
2005-02,363.60,
2005-03,369.72,
2005-04,382.41,
2005-05,388.02,
2005-06,417.57,
2005-07,414.28,
2005-08,410.40,
2005-09,414.99,
2005-10,431.90,
2005-11,438.07,
2005-12,405.11,
2006-01,418.95,
2006-02,428.31,
2006-03,442.36,
2006-04,437.47,
2006-05,436.25,
2006-06,438.71,
2006-07,438.18,
2006-08,441.38,
2006-09,453.05,
2006-10,459.17,
2006-11,471.12,
2006-12,487.14,
2007-01,489.12,
2007-02,496.56,
2007-03,507.31,
2007-04,503.27,
2007-05,516.20,
2007-06,531.64,
2007-07,526.49,
2007-08,539.53,
2007-09,544.09,
2007-10,552.73,
2007-11,554.91,
2007-12,559.08,
2008-01,578.60,
2008-02,570.32,
2008-03,583.69,
2008-04,572.84,
2008-05,583.41,
2008-06,590.49,
2008-07,590.39,
2008-08,592.86,
2008-09,589.95,
2008-10,581.83,
2008-11,568.29,
2008-12,544.46,
2009-01,546.88,
2009-02,537.54,
2009-03,527.17,
2009-04,522.53,
2009-05,513.68,
2009-06,508.33,
2009-07,514.24,
2009-08,513.83,
2009-09,508.61,
2009-10,509.22,
2009-11,507.79,
2009-12,496.37,
2010-01,500.10,
2010-02,496.34,
2010-03,491.90,
2010-04,483.19,
2010-05,470.30,
2010-06,455.02,
2010-07,461.83,
2010-08,459.89,
2010-09,456.41,
2010-10,443.52,
2010-11,433.49,
2010-12,405.48,
2011-01,398.00,
2011-02,393.62,
2011-03,382.63,
2011-04,375.73,
2011-05,374.32,
2011-06,365.87,
2011-07,364.10,
2011-08,362.08,
2011-09,357.79,
2011-10,350.78,
2011-11,352.47,
2011-12,345.42,
2012-01,339.07,
2012-02,333.12,
2012-03,321.32,
2012-04,315.21,
2012-05,317.80,
2012-06,310.12,
2012-07,306.50,
2012-08,302.91,
2012-09,300.86,
2012-10,298.30,
2012-11,296.04,
2012-12,292.80,
2013-01,299.17,
2013-02,299.30,
2013-03,298.31,
2013-04,297.53,
2013-05,298.36,
2013-06,292.84,
2013-07,290.29,
2013-08,287.20,
2013-09,282.71,
2013-10,281.08,
2013-11,281.72,
2013-12,275.35,
2014-01,274.77,
2014-02,270.42,
2014-03,272.70,
2014-04,270.47,
2014-05,273.19,
2014-06,264.78,
2014-07,271.20,
2014-08,264.46,
"","Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries. Cyprus, Greece, Ireland, Italy, Portugal and Spain.",
