"",BBK01.CEL60K,BBK01.CEL60K_FLAGS
"","Insurance, pension and standardised guarantees debtor: Total            creditor: Insurance corporations",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:08,
1999-01,1.8,
1999-04,0.9,
1999-07,1.0,
1999-10,3.0,
2000-01,2.2,
2000-04,0.8,
2000-07,0.9,
2000-10,-2.6,
2001-01,2.1,
2001-04,0.9,
2001-07,1.9,
2001-10,7.1,
2002-01,3.9,
2002-04,0.9,
2002-07,1.3,
2002-10,-2.8,
2003-01,1.2,
2003-04,1.3,
2003-07,0.8,
2003-10,-7.5,
2004-01,1.4,
2004-04,0.2,
2004-07,0.8,
2004-10,-2.3,
2005-01,1.8,
2005-04,0.5,
2005-07,1.5,
2005-10,-6.8,
2006-01,-0.4,
2006-04,-0.4,
2006-07,-0.3,
2006-10,-4.3,
2007-01,-0.8,
2007-04,-0.8,
2007-07,-0.8,
2007-10,-2.5,
2008-01,-1.3,
2008-04,-1.2,
2008-07,-1.2,
2008-10,-1.2,
2009-01,-2.1,
2009-04,-2.0,
2009-07,-1.9,
2009-10,-1.8,
2010-01,0.2,
2010-04,0.2,
2010-07,0.2,
2010-10,0.3,
2011-01,0.5,
2011-04,0.4,
2011-07,0.5,
2011-10,0.6,
2012-01,0.1,
2012-04,0.1,
2012-07,0.1,
2012-10,0.1,
2013-01,-1.4,
2013-04,0.3,
2013-07,0.6,
2013-10,0.7,
2014-01,1.9,
2014-04,-0.1,
2014-07,-0.1,
