"",BBAI3.Q.DE.N.V.LE.F4.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:05,
2005-10,44222,
2006-01,44858,
2006-04,44968,
2006-07,45280,
2006-10,45984,
2007-01,46433,
2007-04,46111,
2007-07,46161,
2007-10,46147,
2008-01,44345,
2008-04,42751,
2008-07,41797,
2008-10,40616,
2009-01,40027,
2009-04,38720,
2009-07,37509,
2009-10,36232,
2010-01,36506,
2010-04,35917,
2010-07,35197,
2010-10,34692,
2011-01,34536,
2011-04,33726,
2011-07,32965,
2011-10,32044,
2012-01,32939,
2012-04,33414,
2012-07,33977,
2012-10,34569,
2013-01,33958,
2013-04,33439,
2013-07,33105,
2013-10,32961,
2014-01,33762,
2014-04,33815,
2014-07,33890,
