"",BBAI3.Q.DE.N.V.LE.F511.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:20,
2005-10,4221,
2006-01,4016,
2006-04,3680,
2006-07,4340,
2006-10,4828,
2007-01,4996,
2007-04,5351,
2007-07,4864,
2007-10,4662,
2008-01,4193,
2008-04,3939,
2008-07,3600,
2008-10,2885,
2009-01,2310,
2009-04,2367,
2009-07,2921,
2009-10,2990,
2010-01,3223,
2010-04,2923,
2010-07,2965,
2010-10,3205,
2011-01,3367,
2011-04,3233,
2011-07,2565,
2011-10,2677,
2012-01,3226,
2012-04,2974,
2012-07,3419,
2012-10,3879,
2013-01,4087,
2013-04,4172,
2013-07,4323,
2013-10,4899,
2014-01,4719,
2014-04,4446,
2014-07,4605,
