"",BBEX3.D.TWD.USD.CA.AA.000,BBEX3.D.TWD.USD.CA.AA.000_FLAGS
"",Exchange rates for the US dollar in China (Taiwan) / USD 1 = TWD... (buying),
unit,TWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:54:11,
1984-01-14,40.150,
1984-01-15,.,No value available
1984-01-16,.,No value available
1984-01-17,.,No value available
1984-01-18,.,No value available
1984-01-19,.,No value available
1984-01-20,.,No value available
1984-01-21,.,No value available
1984-01-22,.,No value available
1984-01-23,.,No value available
1984-01-24,.,No value available
1984-01-25,.,No value available
1984-01-26,.,No value available
1984-01-27,.,No value available
1984-01-28,.,No value available
1984-01-29,.,No value available
1984-01-30,.,No value available
1984-01-31,40.130,
1984-02-01,.,No value available
1984-02-02,.,No value available
1984-02-03,.,No value available
1984-02-04,.,No value available
1984-02-05,.,No value available
1984-02-06,.,No value available
1984-02-07,.,No value available
1984-02-08,.,No value available
1984-02-09,.,No value available
1984-02-10,.,No value available
1984-02-11,.,No value available
1984-02-12,.,No value available
1984-02-13,.,No value available
1984-02-14,.,No value available
1984-02-15,40.130,
1984-02-16,.,No value available
1984-02-17,.,No value available
1984-02-18,.,No value available
1984-02-19,.,No value available
1984-02-20,.,No value available
1984-02-21,.,No value available
1984-02-22,.,No value available
1984-02-23,.,No value available
1984-02-24,.,No value available
1984-02-25,.,No value available
1984-02-26,.,No value available
1984-02-27,.,No value available
1984-02-28,.,No value available
1984-02-29,40.120,
1984-03-01,.,No value available
1984-03-02,.,No value available
1984-03-03,.,No value available
1984-03-04,.,No value available
1984-03-05,.,No value available
1984-03-06,.,No value available
1984-03-07,.,No value available
1984-03-08,.,No value available
1984-03-09,.,No value available
1984-03-10,.,No value available
1984-03-11,.,No value available
1984-03-12,.,No value available
1984-03-13,.,No value available
1984-03-14,.,No value available
1984-03-15,39.970,
1984-03-16,.,No value available
1984-03-17,.,No value available
1984-03-18,.,No value available
1984-03-19,.,No value available
1984-03-20,.,No value available
1984-03-21,.,No value available
1984-03-22,.,No value available
1984-03-23,.,No value available
1984-03-24,.,No value available
1984-03-25,.,No value available
1984-03-26,.,No value available
1984-03-27,.,No value available
1984-03-28,.,No value available
1984-03-29,.,No value available
1984-03-30,.,No value available
1984-03-31,39.870,
1984-04-01,.,No value available
1984-04-02,.,No value available
1984-04-03,.,No value available
1984-04-04,.,No value available
1984-04-05,.,No value available
1984-04-06,.,No value available
1984-04-07,.,No value available
1984-04-08,.,No value available
1984-04-09,.,No value available
1984-04-10,.,No value available
1984-04-11,.,No value available
1984-04-12,.,No value available
1984-04-13,.,No value available
1984-04-14,39.700,
1984-04-15,.,No value available
1984-04-16,.,No value available
1984-04-17,.,No value available
1984-04-18,.,No value available
1984-04-19,.,No value available
1984-04-20,.,No value available
1984-04-21,.,No value available
1984-04-22,.,No value available
1984-04-23,.,No value available
1984-04-24,.,No value available
1984-04-25,.,No value available
1984-04-26,.,No value available
1984-04-27,.,No value available
1984-04-28,.,No value available
1984-04-29,.,No value available
1984-04-30,39.590,
1984-05-01,.,No value available
1984-05-02,.,No value available
1984-05-03,.,No value available
1984-05-04,.,No value available
1984-05-05,.,No value available
1984-05-06,.,No value available
1984-05-07,.,No value available
1984-05-08,.,No value available
1984-05-09,.,No value available
1984-05-10,.,No value available
1984-05-11,.,No value available
1984-05-12,.,No value available
1984-05-13,.,No value available
1984-05-14,.,No value available
1984-05-15,39.540,
1984-05-16,.,No value available
1984-05-17,.,No value available
1984-05-18,.,No value available
1984-05-19,.,No value available
1984-05-20,.,No value available
1984-05-21,.,No value available
1984-05-22,.,No value available
1984-05-23,.,No value available
1984-05-24,.,No value available
1984-05-25,.,No value available
1984-05-26,.,No value available
1984-05-27,.,No value available
1984-05-28,.,No value available
1984-05-29,.,No value available
1984-05-30,.,No value available
1984-05-31,39.840,
1984-06-01,.,No value available
1984-06-02,.,No value available
1984-06-03,.,No value available
1984-06-04,.,No value available
1984-06-05,.,No value available
1984-06-06,.,No value available
1984-06-07,.,No value available
1984-06-08,.,No value available
1984-06-09,.,No value available
1984-06-10,.,No value available
1984-06-11,.,No value available
1984-06-12,.,No value available
1984-06-13,.,No value available
1984-06-14,.,No value available
1984-06-15,39.660,
1984-06-16,.,No value available
1984-06-17,.,No value available
1984-06-18,.,No value available
1984-06-19,.,No value available
1984-06-20,.,No value available
1984-06-21,.,No value available
1984-06-22,.,No value available
1984-06-23,.,No value available
1984-06-24,.,No value available
1984-06-25,.,No value available
1984-06-26,.,No value available
1984-06-27,.,No value available
1984-06-28,.,No value available
1984-06-29,.,No value available
1984-06-30,39.580,
1984-07-01,.,No value available
1984-07-02,.,No value available
1984-07-03,.,No value available
1984-07-04,.,No value available
1984-07-05,.,No value available
1984-07-06,.,No value available
1984-07-07,.,No value available
1984-07-08,.,No value available
1984-07-09,.,No value available
1984-07-10,.,No value available
1984-07-11,.,No value available
1984-07-12,.,No value available
1984-07-13,.,No value available
1984-07-14,39.400,
1984-07-15,.,No value available
1984-07-16,.,No value available
1984-07-17,.,No value available
1984-07-18,.,No value available
1984-07-19,.,No value available
1984-07-20,.,No value available
1984-07-21,.,No value available
1984-07-22,.,No value available
1984-07-23,.,No value available
1984-07-24,.,No value available
1984-07-25,.,No value available
1984-07-26,.,No value available
1984-07-27,.,No value available
1984-07-28,.,No value available
1984-07-29,.,No value available
1984-07-30,.,No value available
1984-07-31,39.130,
1984-08-01,.,No value available
1984-08-02,.,No value available
1984-08-03,.,No value available
1984-08-04,.,No value available
1984-08-05,.,No value available
1984-08-06,.,No value available
1984-08-07,.,No value available
1984-08-08,.,No value available
1984-08-09,.,No value available
1984-08-10,.,No value available
1984-08-11,.,No value available
1984-08-12,.,No value available
1984-08-13,.,No value available
1984-08-14,.,No value available
1984-08-15,38.980,
1984-08-16,.,No value available
1984-08-17,.,No value available
1984-08-18,.,No value available
1984-08-19,.,No value available
1984-08-20,.,No value available
1984-08-21,.,No value available
1984-08-22,.,No value available
1984-08-23,.,No value available
1984-08-24,.,No value available
1984-08-25,.,No value available
1984-08-26,.,No value available
1984-08-27,.,No value available
1984-08-28,.,No value available
1984-08-29,.,No value available
1984-08-30,.,No value available
1984-08-31,38.980,
1984-09-01,.,No value available
1984-09-02,.,No value available
1984-09-03,.,No value available
1984-09-04,.,No value available
1984-09-05,.,No value available
1984-09-06,.,No value available
1984-09-07,.,No value available
1984-09-08,.,No value available
1984-09-09,.,No value available
1984-09-10,.,No value available
1984-09-11,.,No value available
1984-09-12,.,No value available
1984-09-13,.,No value available
1984-09-14,.,No value available
1984-09-15,39.030,
1984-09-16,.,No value available
1984-09-17,.,No value available
1984-09-18,.,No value available
1984-09-19,.,No value available
1984-09-20,.,No value available
1984-09-21,.,No value available
1984-09-22,.,No value available
1984-09-23,.,No value available
1984-09-24,.,No value available
1984-09-25,.,No value available
1984-09-26,.,No value available
1984-09-27,.,No value available
1984-09-28,.,No value available
1984-09-29,39.130,
1984-09-30,.,No value available
1984-10-01,.,No value available
1984-10-02,.,No value available
1984-10-03,.,No value available
1984-10-04,.,No value available
1984-10-05,.,No value available
1984-10-06,.,No value available
1984-10-07,.,No value available
1984-10-08,.,No value available
1984-10-09,.,No value available
1984-10-10,.,No value available
1984-10-11,.,No value available
1984-10-12,.,No value available
1984-10-13,.,No value available
1984-10-14,.,No value available
1984-10-15,39.080,
1984-10-16,.,No value available
1984-10-17,.,No value available
1984-10-18,.,No value available
1984-10-19,.,No value available
1984-10-20,.,No value available
1984-10-21,.,No value available
1984-10-22,.,No value available
1984-10-23,.,No value available
1984-10-24,.,No value available
1984-10-25,.,No value available
1984-10-26,.,No value available
1984-10-27,.,No value available
1984-10-28,.,No value available
1984-10-29,.,No value available
1984-10-30,39.230,
1984-10-31,.,No value available
1984-11-01,.,No value available
1984-11-02,.,No value available
1984-11-03,.,No value available
1984-11-04,.,No value available
1984-11-05,.,No value available
1984-11-06,.,No value available
1984-11-07,.,No value available
1984-11-08,.,No value available
1984-11-09,.,No value available
1984-11-10,.,No value available
1984-11-11,.,No value available
1984-11-12,.,No value available
1984-11-13,.,No value available
1984-11-14,.,No value available
1984-11-15,39.320,
1984-11-16,.,No value available
1984-11-17,.,No value available
1984-11-18,.,No value available
1984-11-19,.,No value available
1984-11-20,.,No value available
1984-11-21,.,No value available
1984-11-22,.,No value available
1984-11-23,.,No value available
1984-11-24,.,No value available
1984-11-25,.,No value available
1984-11-26,.,No value available
1984-11-27,.,No value available
1984-11-28,.,No value available
1984-11-29,.,No value available
1984-11-30,39.430,
1984-12-01,.,No value available
1984-12-02,.,No value available
1984-12-03,.,No value available
1984-12-04,.,No value available
1984-12-05,.,No value available
1984-12-06,.,No value available
1984-12-07,.,No value available
1984-12-08,.,No value available
