"",BBQFS.M.ES.GOVE.YLD_SPRD_10.DE.GOVE,BBQFS.M.ES.GOVE.YLD_SPRD_10.DE.GOVE_FLAGS
"",Yield spreads between Spanish sovereign bonds and Bunds (FSR 2014),
unit,%-Punkte/% points (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:30,
1993-01,5.07,
1993-02,4.54,
1993-03,4.76,
1993-04,4.86,
1993-05,4.39,
1993-06,3.77,
1993-07,3.67,
1993-08,3.10,
1993-09,2.99,
1993-10,2.74,
1993-11,2.69,
1993-12,2.57,
1994-01,2.28,
1994-02,2.18,
1994-03,2.56,
1994-04,2.66,
1994-05,2.91,
1994-06,3.28,
1994-07,3.71,
1994-08,3.62,
1994-09,3.69,
1994-10,3.59,
1994-11,3.72,
1994-12,3.97,
1995-01,4.34,
1995-02,4.23,
1995-03,5.07,
1995-04,5.02,
1995-05,4.62,
1995-06,4.84,
1995-07,4.54,
1995-08,4.27,
1995-09,4.26,
1995-10,4.36,
1995-11,4.23,
1995-12,3.88,
1996-01,3.58,
1996-02,3.51,
1996-03,3.45,
1996-04,2.94,
1996-05,2.74,
1996-06,2.53,
1996-07,2.32,
1996-08,2.55,
1996-09,2.17,
1996-10,1.77,
1996-11,1.49,
1996-12,1.19,
1997-01,0.95,
1997-02,1.10,
1997-03,1.28,
1997-04,1.04,
1997-05,0.82,
1997-06,0.71,
1997-07,0.64,
1997-08,0.65,
1997-09,0.46,
1997-10,0.36,
1997-11,0.36,
1997-12,0.29,
1998-01,0.27,
1998-02,0.23,
1998-03,0.18,
1998-04,0.16,
1998-05,0.17,
1998-06,0.22,
1998-07,0.26,
1998-08,0.32,
1998-09,0.41,
1998-10,0.42,
1998-11,0.28,
1998-12,0.22,
1999-01,0.22,
1999-02,0.22,
1999-03,0.26,
1999-04,0.25,
1999-05,0.26,
1999-06,0.27,
1999-07,0.24,
1999-08,0.27,
1999-09,0.25,
1999-10,0.23,
1999-11,0.22,
1999-12,0.19,
2000-01,0.23,
2000-02,0.22,
2000-03,0.22,
2000-04,0.23,
2000-05,0.28,
2000-06,0.28,
2000-07,0.28,
2000-08,0.30,
2000-09,0.31,
2000-10,0.28,
2000-11,0.30,
2000-12,0.34,
2001-01,0.34,
2001-02,0.34,
2001-03,0.35,
2001-04,0.34,
2001-05,0.31,
2001-06,0.30,
2001-07,0.32,
2001-08,0.30,
2001-09,0.29,
2001-10,0.27,
2001-11,0.29,
2001-12,0.21,
2002-01,0.18,
2002-02,0.18,
2002-03,0.17,
2002-04,0.17,
2002-05,0.18,
2002-06,0.20,
2002-07,0.20,
2002-08,0.18,
2002-09,0.19,
2002-10,0.14,
2002-11,0.10,
