"",BBAI3.Q.DE.N.V.LE.F.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:30,
2005-10,1717,
2006-01,1502,
2006-04,1470,
2006-07,1477,
2006-10,1787,
2007-01,1518,
2007-04,1544,
2007-07,1546,
2007-10,1850,
2008-01,1577,
2008-04,1560,
2008-07,1576,
2008-10,1824,
2009-01,1550,
2009-04,1555,
2009-07,1593,
2009-10,1881,
2010-01,1624,
2010-04,1622,
2010-07,1639,
2010-10,1939,
2011-01,1681,
2011-04,1698,
2011-07,1681,
2011-10,1958,
2012-01,1797,
2012-04,1798,
2012-07,1818,
2012-10,2045,
2013-01,1893,
2013-04,1898,
2013-07,1914,
2013-10,2113,
2014-01,1972,
2014-04,1987,
2014-07,1998,
