"",BBAI3.Q.DE.N.V.LE.F34.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:43,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,565,
2009-04,581,
2009-07,541,
2009-10,530,
2010-01,568,
2010-04,547,
2010-07,528,
2010-10,487,
2011-01,507,
2011-04,524,
2011-07,522,
2011-10,617,
2012-01,818,
2012-04,768,
2012-07,721,
2012-10,694,
2013-01,831,
2013-04,876,
2013-07,835,
2013-10,698,
2014-01,892,
2014-04,808,
2014-07,805,
