"",BBEE1.Q.I7.AAA.XZE02A.A.AABAN.M00,BBEE1.Q.I7.AAA.XZE02A.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-39 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:09,
1993-01,72.5178,
1993-04,74.2214,
1993-07,73.2535,
1993-10,75.1301,
1994-01,77.7576,
1994-04,82.3076,
1994-07,86.4407,
1994-10,87.5477,
1995-01,90.4738,
1995-04,92.5064,
1995-07,93.3888,
1995-10,94.8374,
1996-01,94.8378,
1996-04,94.2865,
1996-07,96.1813,
1996-10,95.5392,
1997-01,92.3956,
1997-04,90.4180,
1997-07,88.2334,
1997-10,92.7733,
1998-01,93.0551,
1998-04,94.7062,
1998-07,97.6702,
1998-10,102.1251,
1999-01,100.0000,
1999-04,96.2888,
1999-07,95.4786,
1999-10,94.2124,
2000-01,90.8555,
2000-04,88.1658,
2000-07,87.0343,
2000-10,85.4277,
2001-01,90.9205,
2001-04,88.8190,
2001-07,90.6321,
2001-10,91.4041,
2002-01,90.4602,
2002-04,92.9538,
2002-07,97.3712,
2002-10,98.6372,
2003-01,103.7385,
2003-04,107.5018,
2003-07,106.6999,
2003-10,109.4786,
2004-01,112.0272,
2004-04,109.5819,
2004-07,110.4972,
2004-10,113.3420,
2005-01,112.6587,
2005-04,110.1442,
2005-07,108.0619,
2005-10,106.7310,
2006-01,106.6464,
2006-04,109.6191,
2006-07,110.7012,
2006-10,110.5599,
2007-01,111.2273,
2007-04,112.2549,
2007-07,112.6646,
2007-10,115.0938,
2008-01,116.9315,
2008-04,119.6554,
2008-07,117.0602,
2008-10,114.0577,
2009-01,118.2190,
2009-04,119.0338,
2009-07,120.2944,
2009-10,121.6890,
2010-01,115.9140,
2010-04,109.5433,
2010-07,109.1454,
2010-10,111.3816,
2011-01,110.8901,
2011-04,113.6328,
2011-07,112.5307,
2011-10,111.6725,
2012-01,108.4160,
2012-04,107.4616,
2012-07,105.0177,
2012-10,107.4255,
2013-01,110.1512,
2013-04,110.5596,
2013-07,112.8910,
2013-10,114.6999,
2014-01,116.5504,
2014-04,116.0193,
2014-07,113.7001,
2014-10,112.4277,
"",Source: European Central Bank: EXR.Q.E3.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Algeria, Argentina, Australia, Brazil, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Iceland, India, Indonesia, Israel, Japan, Lithuania,Malaysia, Mexico, Morocco, New Zealand, Norway, Philippines, Poland, Romania, the Russian Federation, Singapore, South Africa, South Korea, Sweden, Switzerland, Taiwan, Thailand, Turkey, the United Kingdom, the United States and Venezuela.                                   The weights used in these calculations are based on manufactured goodstradeand capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
