"",BBK01.CELE0K,BBK01.CELE0K_FLAGS
"",short-term loans                                              debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:57,
1999-01,0.8,
1999-04,1.6,
1999-07,0.9,
1999-10,1.4,
2000-01,4.3,
2000-04,0.5,
2000-07,1.0,
2000-10,0.9,
2001-01,1.1,
2001-04,1.6,
2001-07,0.2,
2001-10,2.5,
2002-01,1.4,
2002-04,1.6,
2002-07,4.0,
2002-10,0.7,
2003-01,3.1,
2003-04,0.6,
2003-07,1.4,
2003-10,2.3,
2004-01,2.8,
2004-04,1.4,
2004-07,1.0,
2004-10,0.4,
2005-01,-0.8,
2005-04,-0.5,
2005-07,-0.6,
2005-10,1.3,
2006-01,-2.9,
2006-04,-1.9,
2006-07,-1.1,
2006-10,-2.7,
2007-01,-6.6,
2007-04,-2.5,
2007-07,-2.5,
2007-10,-1.3,
2008-01,-0.2,
2008-04,-0.7,
2008-07,-0.2,
2008-10,-1.3,
2009-01,0.2,
2009-04,-0.5,
2009-07,-0.5,
2009-10,-1.0,
2010-01,1.5,
2010-04,0.6,
2010-07,0.6,
2010-10,0.5,
2011-01,0.8,
2011-04,-0.1,
2011-07,0.5,
2011-10,0.5,
2012-01,0.9,
2012-04,1.2,
2012-07,0.9,
2012-10,-0.2,
2013-01,-1.2,
2013-04,-1.4,
2013-07,-1.2,
2013-10,-1.0,
2014-01,0.5,
2014-04,0.3,
2014-07,-0.4,
